N	3gram	Vinokur_Ku	Problemy
1	то же время	4	26
2	в то же	4	26
3	с точки зрения	16	25
4	по отношению к	8	18
5	и т п	39	18
6	в этом смысле	8	16
7	на самом деле	3	15
8	не может быть	5	14
9	в большинстве случаев	2	12
10	в конце концов	3	11
11	до сих пор	5	10
12	в самом деле	14	9
13	во всяком случае	8	9
14	с другой стороны	12	9
15	в том что	23	8
16	и т д	21	7
17	том что он	4	6
18	в отличие от	3	6
19	по крайней мере	11	5
20	в зависимости от	7	5
21	хотя бы и	4	5
22	можно было бы	11	5
23	но все же	3	5
24	тем не менее	9	4
25	и не в	2	4
26	более или менее	3	4
27	о том что	6	4
28	так и в	2	4
29	само по себе	6	4
30	сами по себе	2	4
31	в этом отношении	8	4
32	смысле этого слова	2	4
33	к тому чтобы	2	4
34	в большей или	2	3
35	большей или меньшей	2	3
36	на то что	3	3
37	в узком смысле	2	3
38	и в самом	4	3
39	на этот вопрос	3	3
40	в настоящее время	2	3
41	т е в	3	3
42	или меньшей степени	2	3
43	потому что она	2	3
44	в этом случае	4	3
45	мы увидим что	2	3
46	в том и	3	3
47	можно сказать что	2	3
48	этой точки зрения	4	2
49	и в том	2	2
50	этого слова и	2	2
51	рано или поздно	2	2
52	он должен быть	2	2
53	что все это	2	2
54	в противоречии с	2	2
55	т п все	2	2
56	и в другом	2	2
57	что же касается	4	2
58	не только в	4	2
59	сводится к тому	2	2
60	сплошь да рядом	3	2
61	к тому что	2	2
62	а следовательно и	2	2
63	вместе с тем	3	2
64	для того чтобы	21	2
65	в свою очередь	4	2
