N	2gram	Nazirov_Vr	VLabPisa
1	таким образом	2	32
2	в этом	8	29
3	не только	9	26
4	и в	8	26
5	может быть	4	23
6	и не	5	20
7	т е	3	18
8	не может	2	17
9	в письме	5	16
10	в том	3	15
11	в его	3	15
12	все это	4	13
13	письме к	4	12
14	что в	7	11
15	из них	2	11
16	то же	5	10
17	но и	7	10
18	о том	4	10
19	к этому	3	9
20	об этом	5	9
21	для него	2	9
22	он пишет	2	9
23	в своем	3	8
24	том что	3	8
25	вместе с	2	8
26	это не	4	7
27	в году	18	7
28	то что	7	7
29	как и	6	7
30	их в	2	7
31	в нем	6	7
32	не было	5	7
33	же в	2	7
34	в то	5	6
35	в себе	2	6
36	все же	6	6
37	том же	2	6
38	у него	5	6
39	и его	3	6
40	между тем	5	6
41	никогда не	2	5
42	одним из	3	5
43	как бы	4	5
44	в них	2	5
45	письме от	2	5
46	связи с	3	5
47	же время	5	5
48	на основе	2	5
49	одна из	2	4
50	в нашей	2	4
51	и ее	2	4
52	в виду	4	4
53	что он	4	4
54	в романе	6	4
55	отнюдь не	2	4
56	как раз	2	4
57	в своей	2	4
58	в связи	3	4
59	во время	2	4
60	в этой	2	4
61	с его	3	4
62	при помощи	2	3
63	при создании	2	3
64	так же	4	3
65	но как	2	3
66	и он	2	3
67	в конце	3	3
68	его в	3	3
69	и как	3	3
70	мая года	2	3
71	в дневнике	4	3
72	мы знаем	2	3
73	п в	2	3
74	далеко не	3	3
75	что у	3	3
76	а в	2	3
77	в котором	6	3
78	точки зрения	2	3
79	и образы	2	3
80	а н	2	3
81	у тургенева	11	3
82	на это	2	2
83	о чем	2	2
84	начиная с	2	2
85	и даже	6	2
86	и у	3	2
87	апреля года	3	2
88	достоевского и	7	2
89	еще не	2	2
90	после этого	2	2
91	в чем	3	2
92	марта года	3	2
93	к ним	2	2
94	тургенева и	18	2
95	не менее	2	2
96	но в	6	2
97	на то	3	2
98	в своих	4	2
99	в ней	4	2
100	с нею	2	2
101	и достоевский	2	2
102	человека в	3	2
103	же как	2	2
104	он сам	2	2
105	он не	3	2
