N	2gram	Savitsky_E	StatiiOP
1	и в	37	103
2	в том	11	89
3	том что	6	77
4	в этом	12	76
5	что в	21	74
6	не только	18	60
7	о том	3	47
8	но и	14	46
9	то что	6	44
10	в его	2	42
11	и не	14	41
12	может быть	6	38
13	т е	9	33
14	было бы	8	32
15	в этой	2	31
16	вовсе не	6	31
17	тем что	3	29
18	таким образом	2	28
19	а в	2	27
20	а не	2	27
21	но в	14	26
22	что это	2	25
23	так и	10	25
24	этом отношении	3	24
25	не в	5	23
26	точки зрения	23	23
27	потому что	3	23
28	того что	7	22
29	в области	11	22
30	прежде всего	9	22
31	для того	6	22
32	как в	3	22
33	того чтобы	6	21
34	в то	16	19
35	в своей	8	19
36	только в	9	19
37	не может	9	18
38	но также	2	18
39	с другой	7	18
40	в котором	2	18
41	он не	2	18
42	между прочим	7	17
43	в россии	5	17
44	в данном	3	17
45	как на	3	17
46	в самом	4	17
47	как бы	6	17
48	с этим	2	16
49	сказать что	4	16
50	в ней	4	16
51	можно было	3	16
52	если бы	2	16
53	в этих	2	16
54	в отношении	32	15
55	с тем	3	15
56	как и	7	15
57	другой стороны	2	15
58	также и	7	15
59	и на	6	15
60	к тому	8	14
61	между тем	8	14
62	то же	15	14
63	в течение	5	14
64	с точки	17	14
65	и что	2	14
66	в своем	14	13
67	со стороны	5	13
68	в качестве	14	13
69	во всяком	3	13
70	дело в	3	13
71	именно в	4	13
72	из них	3	13
73	всяком случае	3	13
74	в той	5	13
75	жизни и	2	13
76	вместе с	2	13
77	так как	7	12
78	хотя бы	15	12
79	в своих	2	12
80	никогда не	3	11
81	вопрос о	4	11
82	и с	2	11
83	в них	3	11
84	и по	5	11
85	на то	6	11
86	в каком	4	10
87	так же	9	10
88	в частности	5	10
89	что и	3	10
90	отметить что	3	10
91	в истории	2	10
92	во всех	6	10
93	во второй	3	10
94	но не	5	10
95	же время	14	10
96	что же	2	9
97	несмотря на	4	9
98	место в	3	9
99	там где	3	9
100	можно сказать	4	9
101	в одном	2	9
102	не является	3	9
103	с этой	6	9
104	и для	3	9
105	и к	3	9
106	для нас	4	9
107	говорит о	3	9
108	и тем	3	9
109	при помощи	2	8
110	могут быть	2	8
111	в их	11	8
112	связано с	3	8
113	в общем	3	8
114	в какой	2	8
115	а также	7	8
116	в результате	3	8
117	и даже	6	8
118	такой же	2	8
119	заключается в	2	8
120	и более	2	8
121	не имеет	4	8
122	еще более	2	8
123	в которых	3	8
124	данном случае	2	7
125	в виде	5	7
126	одной из	5	7
127	что все	2	7
128	в эту	2	7
129	и сейчас	2	7
130	того же	3	7
131	точка зрения	2	7
132	во втором	2	7
133	как это	4	7
134	тем более	4	7
135	в ее	8	7
136	и то	2	7
137	кажется что	2	7
138	то в	4	7
139	на этот	2	7
140	по себе	4	7
141	но с	2	7
142	представление о	2	7
143	даже в	4	6
144	идет о	3	6
145	в себе	9	6
146	одном из	2	6
147	к нему	2	6
148	и все	2	6
149	что на	2	6
150	в известном	3	6
151	и во	2	6
152	же как	5	6
153	независимо от	4	6
154	мы не	4	6
155	ни на	3	6
156	этот вопрос	2	6
157	этом смысле	3	6
158	в некоторых	2	6
159	нас к	2	5
160	на себя	3	5
161	но если	5	5
162	и потому	5	5
163	в сторону	2	5
164	одной стороны	8	5
165	отношении к	15	5
166	можно ли	3	5
167	думать что	8	5
168	не на	4	5
169	должна быть	2	5
170	что эти	2	5
171	хотя и	2	5
172	или иного	4	5
173	во многих	4	5
174	того или	4	5
175	утверждать что	2	5
176	к ней	4	5
177	целый ряд	2	5
178	как будто	2	5
179	с одной	8	5
180	вообще не	3	5
181	ее в	3	5
182	столь же	5	5
183	и если	2	5
184	во многом	2	5
185	и только	3	5
186	начиная с	2	4
187	очевидно что	3	4
188	не могут	2	4
189	то есть	6	4
190	по своей	2	4
191	на долю	3	4
192	в развитии	2	4
193	всего в	2	4
194	но как	2	4
195	культуры в	4	4
196	в процессе	4	4
197	мы видим	2	4
198	в применении	3	4
199	на язык	2	4
200	как мы	5	4
201	если в	2	4
202	есть в	2	4
203	бы и	3	4
204	в значительной	2	4
205	а именно	2	4
206	бы совершенно	2	4
207	более чем	2	4
208	в смысле	9	4
209	или в	2	4
210	в таком	3	4
211	применении к	3	4
212	и творчества	2	4
213	чем в	4	4
214	все более	9	3
215	в остальном	3	3
216	или иной	4	3
217	из того	2	3
218	отношений между	2	3
219	и наконец	2	3
220	в других	2	3
221	тогда когда	2	3
222	и других	2	3
223	но именно	2	3
224	относятся к	2	3
225	на основании	2	3
226	в деле	3	3
227	себе в	3	3
228	ведь и	2	3
229	от них	3	3
230	она не	2	3
231	заметить что	2	3
232	и как	2	3
233	не говоря	2	3
234	на них	2	3
235	не будет	3	3
236	и некоторые	3	3
237	то не	2	3
238	говоря уже	2	3
239	бы то	4	3
240	в содержании	2	3
241	бы в	2	3
242	известном смысле	3	3
243	от этого	5	3
244	бы ни	3	3
245	в данной	3	3
246	также в	2	3
247	россии в	4	3
248	во всей	2	3
249	можно считать	3	3
250	когда он	3	3
251	в свою	3	3
252	с большой	2	3
253	но на	3	3
254	представляет собой	3	3
255	то ни	4	3
256	не к	2	3
257	не дает	3	3
258	на основе	2	3
259	прочим и	2	2
260	тем самым	5	2
261	из всех	3	2
262	долгое время	2	2
263	каких бы	2	2
264	и таким	2	2
265	же к	2	2
266	на всем	4	2
267	свою очередь	2	2
268	и xix	2	2
269	в европейской	2	2
270	не дают	2	2
271	по своему	7	2
272	мы видели	3	2
273	для понимания	2	2
274	и этот	2	2
275	с и	10	2
276	тем в	3	2
277	в полной	4	2
278	между собой	2	2
279	для них	2	2
280	большей части	2	2
281	той или	4	2
282	это значит	2	2
283	что если	2	2
284	и можно	2	2
285	какой бы	2	2
286	и от	3	2
287	к которым	5	2
288	исключительно в	2	2
289	время в	3	2
290	потребность в	3	2
291	и эта	2	2
292	и еще	2	2
293	только к	2	2
294	по преимуществу	2	2
295	жизни в	3	2
296	ни было	4	2
297	не означает	2	2
298	в известной	3	2
299	только одно	2	2
300	в пределах	25	2
301	к той	2	2
302	следовало бы	2	2
303	а тем	2	2
304	далеко не	2	2
305	в последние	6	2
306	стороны в	2	2
307	мог бы	2	2
308	и теперь	2	2
309	в случае	2	2
310	как не	2	2
311	россии и	3	2
312	по своим	3	2
