N	3gram	Bakhtin_Pr	VeschiIm
1	не может быть	8	24
2	тем не менее	2	11
3	по крайней мере	2	10
4	в том что	6	9
5	на то что	2	7
6	сама по себе	2	7
7	по сравнению с	6	7
8	с точки зрения	13	6
9	в то же	8	5
10	более или менее	3	4
11	о том что	3	4
12	дело в том	3	4
13	то же время	8	4
14	можно сказать что	6	3
15	в собственном смысле	3	3
16	можно было бы	2	3
17	с другой стороны	3	3
18	и в то	3	3
19	мы видели что	2	3
20	все то что	2	2
21	мы находим в	3	2
22	в нем нет	3	2
23	и в конце	2	2
24	хотя бы и	2	2
25	с самим собою	6	2
26	в отношении к	2	2
27	нужно сказать что	2	2
28	друг с другом	6	2
29	в этом смысле	5	2
30	а следовательно и	2	2
31	даже и не	3	2
32	в свое время	4	2
33	тех или иных	2	2
