N	2gram	Losev_Vesc	DiskursI
1	в качестве	4	72
2	а не	34	60
3	может быть	37	56
4	не только	48	49
5	и в	44	49
6	как и	15	47
7	тогда как	3	47
8	в том	15	44
9	и не	57	44
10	то есть	2	41
11	том что	13	40
12	в этом	17	38
13	в себе	23	37
14	в частности	3	36
15	но и	19	35
16	но не	9	31
17	со стороны	9	28
18	так и	4	28
19	но в	8	28
20	не может	44	27
21	по своей	3	26
22	как в	3	25
23	еще не	12	23
24	отнюдь не	8	23
25	все же	18	19
26	прежде всего	17	19
27	в нем	6	19
28	в своей	6	19
29	в основе	4	18
30	далеко не	2	18
31	в данном	6	17
32	то же	12	17
33	с другой	8	17
34	точки зрения	10	16
35	только в	23	16
36	в его	5	15
37	то что	47	15
38	о том	11	15
39	это не	9	14
40	не в	14	14
41	не менее	11	14
42	одной стороны	3	14
43	можно сказать	8	14
44	не является	3	14
45	ни к	3	14
46	с одной	3	14
47	в целом	3	13
48	для него	8	13
49	как бы	19	13
50	данном случае	2	12
51	в своем	9	12
52	и все	6	12
53	того же	5	12
54	природе своей	2	12
55	в своих	3	12
56	и на	2	12
57	что в	11	11
58	по природе	2	11
59	с его	2	11
60	и как	12	11
61	не было	4	11
62	для себя	6	10
63	а в	6	10
64	а с	3	10
65	не столько	2	10
66	той или	3	10
67	также и	9	10
68	же время	4	10
69	тем самым	2	9
70	в то	11	9
71	в силу	4	9
72	уже не	15	9
73	себя в	11	9
74	сводится к	4	9
75	этом отношении	2	8
76	и о	4	8
77	к тому	3	8
78	потому что	25	8
79	не на	2	8
80	хотя и	5	8
81	и даже	12	8
82	жизни в	3	8
83	не с	8	8
84	в себя	13	8
85	в котором	4	8
86	в одном	6	8
87	из них	7	8
88	он не	4	8
89	перед нами	3	7
90	его в	8	7
91	о чем	2	7
92	и ее	19	7
93	приводит к	2	7
94	и для	13	7
95	но это	14	7
96	что и	11	7
97	в этой	4	7
98	другой стороны	3	7
99	к этому	2	7
100	ни в	11	7
101	я в	3	7
102	той же	2	7
103	и его	4	7
104	таким образом	16	7
105	основе своей	2	7
106	никогда не	5	6
107	к его	2	6
108	не как	2	6
109	отношение к	4	6
110	что он	7	6
111	одно из	2	6
112	именно в	2	6
113	тому как	5	6
114	одного из	2	6
115	однако в	3	6
116	что же	17	6
117	здесь не	2	6
118	крайней мере	10	6
119	и может	3	6
120	в сущности	7	6
121	в истории	3	6
122	в ее	8	6
123	и то	14	6
124	одна из	6	6
125	то в	4	6
126	дело в	6	6
127	во всех	5	6
128	в особенности	3	6
129	по крайней	10	6
130	с точки	6	6
131	и того	2	6
