N	3gram	Bakhtin_sl	TeoriaLi
1	в том что	4	10
2	по отношению к	2	10
3	в то же	15	8
4	то же время	15	8
5	в отличие от	12	7
6	с другой стороны	5	6
7	более или менее	5	6
8	того или иного	2	6
9	в данном случае	3	5
10	не может быть	11	5
11	с точки зрения	11	3
12	с одной стороны	7	3
13	тем не менее	2	3
14	той или иной	13	3
15	в связи с	2	3
16	в свою очередь	3	3
17	одно и то	2	2
18	не только не	2	2
19	и то же	2	2
20	до известной степени	3	2
21	в известном смысле	2	2
22	в значительной степени	6	2
23	к тому что	2	2
24	и в то	6	2
25	включает в себя	3	2
26	как и в	2	2
27	может быть и	2	2
28	сама по себе	2	2
29	в отношении к	9	2
30	не могут быть	3	2
31	но в то	6	2
