N	2gram	Potebnia_M	NovoeSre
1	а не	22	17
2	и в	48	16
3	не может	18	16
4	совсем не	2	12
5	и не	28	11
6	и есть	4	10
7	что в	30	9
8	жизни и	3	8
9	в том	47	8
10	он не	4	8
11	не будет	4	7
12	может быть	46	7
13	как и	22	7
14	в этом	19	7
15	никогда не	2	6
16	лишь в	2	6
17	ни в	2	6
18	не в	24	6
19	не знает	4	6
20	но это	9	6
21	не только	32	5
22	все это	4	5
23	в нем	16	5
24	в ней	11	5
25	и к	5	5
26	должно быть	9	4
27	по своему	2	4
28	со всех	3	4
29	в них	9	4
30	не имеет	10	4
31	всех сторон	3	4
32	прежде всего	6	4
33	не менее	9	4
34	не было	12	4
35	и потому	9	4
36	и мы	3	4
37	перестает быть	5	4
38	то что	37	4
39	о том	7	4
40	это не	2	4
41	потому что	82	4
42	и все	5	4
43	жизни к	2	4
44	быть может	7	4
45	значит что	2	4
46	в мире	3	3
47	тому как	6	3
48	перейти от	2	3
49	но и	30	3
50	подобно тому	3	3
51	с другой	8	3
52	в ее	3	3
53	она не	4	3
54	к тому	9	3
55	что такое	2	3
56	в своей	2	3
57	еще не	9	3
58	к ним	3	3
59	жизни не	3	3
60	в истории	2	3
61	человека и	8	3
62	должна быть	2	3
63	как в	17	3
64	конечно не	2	3
65	не есть	24	3
66	за пределы	2	3
67	сказать что	8	3
68	вопрос о	2	3
69	это было	3	3
70	не существует	5	3
71	стремится к	3	3
72	с тем	9	3
73	время как	3	2
74	зависит от	7	2
75	в себе	26	2
76	что она	4	2
77	и с	4	2
78	том чтобы	4	2
79	формы и	2	2
80	но не	8	2
81	духа в	2	2
82	нет и	2	2
83	что все	5	2
84	думать что	6	2
85	и от	5	2
86	нашего времени	2	2
87	того чтобы	5	2
88	и это	6	2
89	хотя бы	3	2
90	в новом	2	2
91	когда мы	4	2
92	а в	14	2
93	но в	8	2
94	том что	28	2
95	не к	4	2
96	мысли в	2	2
97	можно назвать	2	2
98	и на	5	2
99	с этим	12	2
100	в природе	3	2
101	есть в	6	2
102	и что	13	2
103	мы не	17	2
104	в смысле	4	2
105	это и	2	2
106	люди не	2	2
107	у него	3	2
108	времени и	2	2
109	равно как	2	2
110	уже не	11	2
111	другой стороны	4	2
112	так же	6	2
113	так и	17	2
114	могут быть	6	2
115	из глубины	2	2
116	одной стороны	4	2
117	в то	16	2
118	который в	2	2
119	не могла	2	2
120	к содержанию	4	2
121	хотя и	3	2
122	мысли и	8	2
123	мы говорим	2	2
124	должно было	2	2
125	этом смысле	2	2
126	с одной	8	2
127	еще до	3	2
128	место в	4	2
129	и даже	3	2
130	вместе с	22	2
