N	2gram	Medvedev_U	VeschiIm
1	не есть	2	79
2	и не	8	57
3	не только	10	48
4	то что	7	48
5	не может	7	46
6	и в	14	45
7	может быть	6	39
8	а не	10	37
9	было бы	3	24
10	в себе	2	23
11	что она	2	23
12	по себе	2	23
13	только в	2	23
14	что такое	4	20
15	но и	4	19
16	все же	3	18
17	в этом	7	18
18	прежде всего	8	17
19	что мы	2	17
20	таким образом	2	16
21	как раз	2	16
22	в том	2	15
23	как и	3	15
24	не в	2	14
25	и то	3	14
26	но это	2	14
27	том что	2	13
28	и для	2	13
29	в самом	2	13
30	то ни	3	13
31	ничего не	2	12
32	что и	2	12
33	то же	5	12
34	ни было	3	12
35	и с	2	12
36	бы то	3	12
37	в то	3	11
38	и только	5	11
39	крайней мере	2	10
40	по крайней	2	10
41	это не	3	9
42	бы и	2	9
43	хотя бы	5	9
44	у нас	3	9
45	но не	2	9
46	что он	2	8
47	но в	3	8
48	мы не	2	8
49	все это	5	8
50	должна быть	2	8
51	если бы	2	8
52	для него	3	8
53	с другой	4	8
54	самом деле	2	7
55	тем что	2	7
56	ни от	2	7
57	в своей	3	6
58	тех или	2	6
59	даже и	2	5
60	в его	2	5
61	для этого	3	5
62	в конце	2	4
63	и у	2	4
64	в их	4	4
65	что все	2	4
66	в этой	4	4
67	же не	2	4
68	его и	2	4
69	сводится к	2	4
70	же время	3	4
71	вопроса о	2	3
72	но даже	2	3
73	в частности	3	3
74	по существу	2	3
75	другой стороны	3	3
76	если не	2	3
77	вот почему	7	3
78	не все	2	3
79	превращается в	2	3
80	нас в	2	3
81	перестает быть	5	3
82	не о	3	2
83	о чем	2	2
84	не как	3	2
85	и формы	3	2
86	является в	2	2
87	очевидно что	3	2
88	конце концов	2	2
89	это уже	2	2
90	не столько	2	2
91	в россии	4	2
92	только к	3	2
93	это было	2	2
94	этом отношении	2	2
95	не случайно	2	2
96	или иных	2	2
97	как принцип	2	2
98	конечно не	4	2
99	этом смысле	2	2
100	с его	2	2
101	конечно нет	2	2
