N	2gram	Bakhtin_Pr	formyVre
1	и в	64	148
2	в этом	33	73
3	то есть	3	70
4	в романе	12	58
5	в нем	28	51
6	прежде всего	16	46
7	и т	14	40
8	и не	55	37
9	в его	30	36
10	и его	21	36
11	вовсе не	12	35
12	но и	26	33
13	то же	18	32
14	т п	10	32
15	не только	26	32
16	в литературе	4	32
17	но в	14	31
18	жизни и	3	31
19	так и	8	29
20	может быть	43	27
21	не в	15	26
22	как мы	13	26
23	как и	25	25
24	как бы	33	25
25	мы уже	4	24
26	точки зрения	31	24
27	в то	15	23
28	человека в	8	23
29	времени и	2	23
30	только в	13	23
31	то что	21	22
32	в том	12	22
33	все эти	13	21
34	связи с	3	21
35	во всех	4	21
36	же время	13	21
37	в основном	2	19
38	в своем	12	19
39	и др	7	19
40	и для	7	19
41	и на	16	19
42	у него	11	18
43	и все	6	18
44	по существу	6	18
45	еще не	10	18
46	таким образом	15	18
47	человека и	2	17
48	с этим	3	17
49	те же	3	17
50	при этом	8	17
51	так как	9	17
52	в пределах	24	17
53	все же	11	16
54	того же	3	16
55	и во	3	16
56	в основе	4	16
57	не может	26	16
58	в условиях	2	16
59	и их	3	16
60	никогда не	11	15
61	в них	5	15
62	лишь в	4	15
63	в пространстве	3	15
64	так сказать	9	15
65	в одном	20	15
66	с точки	21	15
67	с его	11	15
68	так же	8	14
69	его жизни	2	14
70	все это	9	14
71	всех этих	2	14
72	и как	9	14
73	в конце	8	14
74	и с	9	14
75	как раз	9	14
76	а не	29	14
77	в их	6	13
78	а в	10	13
79	с другом	3	13
80	здесь в	2	13
81	того чтобы	2	13
82	же в	2	13
83	друг с	4	13
84	как в	7	13
85	в котором	7	13
86	в самом	17	13
87	с ним	8	13
88	ничего не	8	12
89	в истории	2	12
90	не было	5	12
91	и до	6	12
92	конечно не	4	12
93	и наконец	7	12
94	но не	12	12
95	потому что	8	12
96	он не	14	12
97	что в	11	12
98	его в	8	11
99	и у	3	11
100	между ними	6	11
101	в образе	2	11
102	в ней	2	11
103	хотя и	5	11
104	ни в	5	11
105	романа в	4	11
106	из них	3	11
107	уже в	5	11
108	мира и	7	11
109	здесь не	7	10
110	в ее	2	10
111	тот же	2	10
112	кроме того	5	10
113	сих пор	9	10
114	также и	3	10
115	входит в	9	10
116	уже не	15	10
117	в большинстве	11	10
118	уже говорили	3	10
119	до сих	9	10
120	могут быть	9	9
121	к себе	6	9
122	всего в	2	9
123	в других	2	9
124	и следовательно	7	9
125	том что	8	9
126	должно быть	8	9
127	и даже	5	9
128	мира в	5	9
129	и это	8	9
130	с другой	7	9
131	для него	23	9
132	но все	6	9
133	есть в	2	9
134	в самой	9	9
135	их в	8	9
136	оно не	3	9
137	здесь нет	4	9
138	отношения к	5	9
139	до конца	10	8
140	это не	12	8
141	для себя	3	8
142	и потому	7	8
143	в произведении	7	8
144	к тому	4	8
145	отношение к	4	8
146	все его	3	8
147	в целом	8	8
148	большинстве случаев	10	8
149	один из	3	8
150	что и	7	8
151	себе самому	6	8
152	во всяком	7	8
153	здесь мы	4	8
154	время как	2	8
155	но эти	4	8
156	в результате	7	8
157	если бы	12	8
158	образ человека	2	8
159	героя и	14	8
160	в этих	5	8
161	со всеми	2	8
162	отношению к	12	8
163	в жизни	5	8
164	в мире	7	8
165	значение в	2	8
166	рядом с	19	8
167	и к	5	8
168	в виду	3	8
169	на фоне	5	8
170	во времени	3	7
171	в процессе	6	7
172	в себе	11	7
173	не как	20	7
174	для других	2	7
175	том же	4	7
176	отличие от	4	7
177	не знает	6	7
178	того что	3	7
179	между собой	2	7
180	в той	5	7
181	было бы	8	7
182	себя и	5	7
183	мир в	4	7
184	например в	5	7
185	из этих	3	7
186	и он	5	7
187	в которой	2	7
188	этого мира	6	7
189	поэтому и	4	7
190	т д	4	7
191	этом отношении	3	7
192	героев и	4	7
193	не могло	2	7
194	ее в	3	7
195	в отличие	4	7
196	еще более	2	7
197	то время	2	7
198	в романах	8	7
199	в форме	8	7
200	в себя	6	7
201	но он	4	7
202	все они	2	6
203	в отношении	5	6
204	не могут	10	6
205	и ее	5	6
206	есть и	5	6
207	но эта	5	6
208	а как	11	6
209	с самим	3	6
210	своей жизни	2	6
211	роман в	2	6
