N	2gram	Tiupa_Teor	Sovremen
1	не может	8	17
2	точки зрения	11	12
3	может быть	22	12
4	таким образом	3	11
5	и в	24	7
6	в этом	12	7
7	и не	17	6
8	как и	6	6
9	с точки	3	5
10	все эти	3	5
11	прежде всего	3	5
12	это не	4	4
13	не только	24	4
14	в том	20	4
15	как бы	8	4
16	их в	3	4
17	если мы	2	4
18	в целом	4	4
19	вместе с	2	4
20	а в	15	4
21	и т.д	4	3
22	и потому	3	3
23	но в	12	3
24	при этом	20	3
25	не в	9	3
26	в области	7	3
27	в себе	14	3
28	еще не	6	3
29	у нас	2	3
30	все это	2	3
31	в нем	7	3
32	между собой	3	3
33	а не	14	3
34	в первом	2	3
35	и к	3	3
36	на две	3	3
37	что она	2	3
38	в этой	3	3
39	то же	12	3
40	в одном	3	3
41	отличается от	2	3
42	отнюдь не	3	3
43	в конце	2	3
44	в системе	2	3
45	и по	3	2
46	быть и	2	2
47	роль в	3	2
48	а на	3	2
49	не менее	6	2
50	не могут	2	2
51	в его	12	2
52	к чему	2	2
53	он должен	3	2
54	и что	4	2
55	что такое	2	2
56	такого рода	13	2
57	приводит к	6	2
58	свою очередь	3	2
59	из этих	3	2
60	тот или	3	2
61	в самом	7	2
62	что в	10	2
63	времени и	2	2
64	в таком	3	2
65	в которой	3	2
66	у него	2	2
67	самом деле	2	2
68	каждая из	2	2
69	уже не	6	2
70	в свою	4	2
71	то ни	2	2
72	в нашем	4	2
73	могут быть	5	2
74	в отличие	7	2
75	отличие от	7	2
76	с одной	3	2
77	на этом	2	2
78	говорить о	4	2
79	этих двух	2	2
80	или иной	7	2
81	тем не	3	2
82	на котором	2	2
83	о жизни	2	2
84	из которых	2	2
85	и даже	2	2
86	тем же	2	2
