N	3gram	Trubetskoy	RusskieA
1	в том что	3	49
2	тем не менее	3	14
3	вместе с тем	8	11
4	о том что	4	10
5	для того чтобы	5	8
6	так же как	3	6
7	в связи с	3	5
8	во всяком случае	6	4
9	но вместе с	2	3
10	мы должны признать	2	3
11	и потому что	2	3
12	более или менее	5	3
13	с тем и	2	3
14	может быть и	2	3
15	с точки зрения	6	3
16	до сих пор	5	3
17	на то что	2	3
18	некоторые из них	2	2
19	и связанные с	2	2
20	всяком случае не	3	2
21	можно сказать что	2	2
22	в этом отношении	2	2
23	ничего общего с	2	2
24	друг с другом	5	2
25	и в этом	2	2
26	с одной стороны	7	2
27	но все же	4	2
