N	2gram	Medvedev_V	EvropaiE
1	и в	26	37
2	в пределах	5	25
3	точки зрения	3	23
4	что в	11	21
5	не только	26	18
6	в то	6	16
7	хотя бы	20	15
8	то же	10	15
9	в своем	8	14
10	но в	2	14
11	но и	10	14
12	и не	20	14
13	же время	5	14
14	в качестве	12	14
15	в этом	29	12
16	в том	15	11
17	в их	5	11
18	в области	2	11
19	так и	6	10
20	т е	18	9
21	так же	3	9
22	не может	17	9
23	отнюдь не	4	9
24	в себе	6	9
25	прежде всего	13	9
26	только в	8	9
27	одной стороны	2	8
28	между тем	6	8
29	в ее	4	8
30	было бы	8	8
31	в своей	4	8
32	с одной	2	8
33	к тому	5	8
34	также и	2	7
35	с другой	11	7
36	как и	7	7
37	между прочим	2	7
38	того что	3	7
39	том что	8	6
40	вслед за	3	6
41	во всех	7	6
42	и даже	2	6
43	может быть	23	6
44	стороны и	2	6
45	того чтобы	3	6
46	для того	3	6
47	на то	2	6
48	то что	7	6
49	как бы	5	6
50	вовсе не	3	6
51	но не	2	5
52	и по	3	5
53	и потому	2	5
54	этой точки	2	5
55	не в	6	5
56	в частности	12	5
57	в течение	2	5
58	же как	2	5
59	одной из	2	5
60	даже в	5	4
61	сказать что	5	4
62	или иной	2	4
63	можно сказать	4	4
64	именно в	3	4
65	в процессе	17	4
66	в самом	4	4
67	но даже	3	4
68	в ней	2	4
69	по себе	2	4
70	как это	12	4
71	того или	2	4
72	никогда не	5	3
73	с тем	4	3
74	и от	3	3
75	и для	2	3
76	о том	10	3
77	очевидно что	7	3
78	к ним	2	3
79	ли это	2	3
80	в общем	2	3
81	всего лишь	3	3
82	в которых	3	3
83	в сфере	2	3
84	когда он	4	3
85	можно было	2	3
86	мира и	3	3
87	бы и	6	3
88	и к	3	3
89	в результате	5	3
90	от них	2	3
91	из них	11	3
92	в них	5	3
93	можно ли	2	3
94	с более	2	3
95	всяком случае	2	3
96	мы видели	3	3
97	что и	3	3
98	и некоторые	2	3
99	отметить что	2	3
100	говорит о	7	3
101	этом отношении	14	3
102	не является	5	3
103	как на	3	3
104	в известной	2	3
105	ее в	4	3
106	во всяком	2	3
107	если в	2	2
108	в его	15	2
109	и этот	2	2
110	начиная с	2	2
111	при помощи	3	2
112	утверждать что	5	2
113	меньшей степени	2	2
114	не могут	10	2
115	она не	3	2
116	производства в	2	2
117	а в	3	2
118	с этим	3	2
119	с другими	2	2
120	в котором	3	2
121	но как	3	2
122	далеко не	3	2
123	в своих	2	2
124	можно утверждать	4	2
125	стороны в	2	2
126	бы в	3	2
127	этот вопрос	3	2
128	могут быть	8	2
129	другой стороны	8	2
130	что все	4	2
131	между ними	3	2
132	в значительной	3	2
133	тогда когда	2	2
134	на язык	2	2
135	в одном	5	2
136	и как	3	2
137	в порядке	6	2
138	если бы	3	2
139	для них	2	2
140	жизни и	3	2
141	войны и	2	2
142	в силу	14	2
143	частности в	2	2
144	а не	7	2
145	с а	2	2
146	и наконец	2	2
147	же в	7	2
148	одном из	4	2
149	этот процесс	3	2
150	или в	3	2
151	таким образом	32	2
152	он не	2	2
153	на основании	8	2
154	во всей	2	2
155	главным образом	7	2
156	в этой	4	2
157	но с	2	2
158	хотя и	2	2
159	должна быть	2	2
160	вместе с	8	2
161	заключается в	2	2
162	он сам	2	2
163	на основе	5	2
