N	3gram	Losev_Dial	EvropaiC
1	в том что	12	16
2	с точки зрения	25	8
3	на то что	3	7
4	так или иначе	2	5
5	в самом деле	6	5
6	к тому же	2	5
7	то ясно что	3	4
8	тем не менее	10	4
9	с другой стороны	3	4
10	о том что	6	4
11	не может быть	12	4
12	бы то ни	2	3
13	так же как	2	3
14	в данном случае	3	3
15	в связи с	3	3
16	не может не	3	3
17	он не может	3	2
18	с одной стороны	3	2
19	во всяком случае	3	2
20	в то время	6	2
21	то же время	3	2
22	как и в	3	2
23	в то же	3	2
24	в вопросе о	2	2
25	как и все	5	2
