N	3gram	Tiupa_Lite	Analitik
1	в том что	15	25
2	не может быть	5	19
3	по отношению к	4	18
4	в то же	12	16
5	о том что	3	15
6	в данном случае	6	14
7	то же время	12	14
8	в отличие от	6	14
9	факторов художественного впечатления	2	13
10	на наш взгляд	7	11
11	в конечном счете	8	11
12	мы имеем дело	2	11
13	в повестях белкина	2	10
14	подобно тому как	4	9
15	с одной стороны	8	9
16	с другой стороны	5	9
17	я в мире	3	9
18	по крайней мере	2	9
19	в свою очередь	2	9
20	в этом отношении	5	8
21	не только в	4	8
22	с точки зрения	4	8
23	состоит в том	8	8
24	во всяком случае	2	7
25	тем не менее	4	6
26	так или иначе	8	6
27	в русской литературе	5	5
28	в этом случае	2	5
29	не сводится к	3	4
30	из того что	2	4
31	в соответствии с	2	4
32	и тем самым	2	4
33	все той же	2	4
34	в равной степени	2	4
35	едва ли не	5	4
36	в силу своей	3	4
37	в своем составе	2	4
38	тех или иных	2	4
39	и т п	2	3
40	как нам представляется	2	3
41	речь идет о	3	3
42	в принципе не	2	3
43	в том числе	2	3
44	при этом как	3	3
45	в связи с	4	3
46	по этой причине	2	3
47	объекта и адресата	2	3
48	дело в том	2	3
49	и то что	2	3
50	а с другой	2	2
51	в равной мере	2	2
52	прежде всего в	4	2
53	можно было бы	2	2
54	как совокупность факторов	2	2
55	совокупность факторов художественного	2	2
56	говоря уже о	2	2
57	с легкой руки	2	2
58	этой точки зрения	3	2
59	до тех пор	2	2
60	с этой точки	3	2
61	и прежде всего	4	2
62	не говоря уже	3	2
63	в сравнении с	2	2
