N	2gram	Tiupa_Narr	Tvorches
1	и в	22	56
2	как бы	11	41
3	в его	12	37
4	в романе	3	34
5	в то	9	30
6	то же	12	25
7	не только	50	24
8	но в	10	24
9	в году	2	24
10	же время	7	24
11	то есть	15	23
12	и его	12	23
13	и не	34	23
14	а в	19	23
15	как и	15	23
16	и т	3	22
17	в этом	23	22
18	в том	20	21
19	что в	6	21
20	том что	15	19
21	он не	8	19
22	может быть	24	19
23	потому что	7	19
24	у него	13	18
25	то что	14	18
26	что он	7	17
27	и на	5	17
28	таким образом	5	17
29	никогда не	8	16
30	прежде всего	7	16
31	как в	9	16
32	при этом	31	16
33	не может	16	16
34	но и	39	16
35	в этой	8	15
36	с его	6	15
37	но это	2	15
38	в мире	8	15
39	и с	3	15
40	это не	6	14
41	и даже	4	14
42	времени в	3	13
43	о том	5	13
44	а не	27	13
45	тем самым	9	12
46	в целом	5	12
47	в котором	3	12
48	все же	10	11
49	в своей	8	11
50	для него	8	11
51	отнюдь не	6	11
52	в конце	4	10
53	не в	12	10
54	так и	12	10
55	в русской	3	10
56	но не	7	10
57	в самом	8	10
58	он сам	4	10
59	только в	23	10
60	как будто	4	10
61	в свою	4	9
62	в нем	9	9
63	один из	8	9
64	и от	3	9
65	по мнению	2	9
66	человека в	2	9
67	жизни в	7	9
68	наряду с	2	9
69	в своих	2	9
70	в душе	3	9
71	так же	2	8
72	в себе	14	8
73	по сути	3	8
74	одной из	2	8
75	не менее	6	8
76	это уже	3	8
77	тогда как	23	8
78	вовсе не	2	8
79	к этому	2	8
80	об этом	8	8
81	в соответствии	8	8
82	еще не	6	8
83	одним из	2	8
84	именно в	5	8
85	соответствии с	7	8
86	хотя и	8	8
87	вместе с	3	8
88	казалось бы	2	7
89	достоевского и	2	7
90	самом деле	4	7
91	читателя в	4	7
92	своего рода	17	7
93	в чем	3	7
94	например в	2	7
95	и он	8	7
96	что она	3	7
97	в которой	2	7
98	в этих	3	7
99	в рассказе	10	7
100	не случайно	2	7
101	во сне	4	7
102	уже не	11	7
103	сути дела	2	7
104	и сам	4	7
105	приводит к	2	6
106	ли не	3	6
107	героя в	6	6
108	в повести	2	6
109	и все	7	6
110	место в	3	6
111	не столько	2	6
112	все эти	3	6
113	в принципе	6	6
114	и ее	3	6
115	одна из	5	6
116	хотя бы	4	6
117	конечном счете	4	6
118	и как	4	6
119	если бы	9	6
120	в конечном	6	6
121	с ним	6	6
122	своих героев	2	6
123	а потому	2	6
124	начиная с	3	5
125	ничего не	8	5
126	до конца	2	5
127	по отношению	5	5
128	и у	4	5
129	как он	3	5
130	в виде	2	5
131	т п	2	5
132	в своем	7	5
133	а с	2	5
134	самим собой	3	5
135	что не	2	5
136	что и	3	5
137	в ее	4	5
138	мы не	5	5
139	и по	3	5
140	более не	3	5
141	что это	4	5
142	все время	2	5
143	в первой	3	5
144	дело не	3	5
145	на него	4	5
146	та же	2	5
147	между тем	5	5
148	героя и	4	5
149	как у	6	5
150	отношению к	5	5
151	в литературе	8	5
152	что у	6	5
153	с другой	6	5
154	как правило	8	5
155	что я	4	5
156	если не	4	5
157	из них	4	5
158	я не	5	5
159	не было	3	5
160	в таком	4	5
161	и будущего	2	4
162	перед нами	9	4
163	и потому	2	4
164	в человеке	2	4
165	и через	2	4
166	в произведениях	3	4
167	роль в	4	4
168	это и	2	4
169	только на	4	4
170	в частности	23	4
171	как это	7	4
172	утверждает что	2	4
173	отличие от	6	4
174	не знает	2	4
175	того что	7	4
176	к нему	5	4
177	точки зрения	8	4
178	так в	4	4
179	что на	4	4
180	сих пор	3	4
181	однако в	4	4
182	о жизни	2	4
183	же как	2	4
184	для автора	2	4
185	с ними	5	4
186	о его	3	4
187	главного героя	5	4
188	который в	2	4
189	как известно	3	4
190	говорит о	3	4
191	и когда	3	4
192	восходит к	2	4
193	так сказать	4	4
194	дело в	2	4
195	особенно в	3	4
196	себя в	4	4
197	у нее	8	4
198	превращается в	2	4
199	и наконец	2	4
