N	2gram	Vinokur_Vv	KFilosof
1	может быть	30	45
2	в его	12	42
3	в нем	13	32
4	не может	19	29
5	и не	13	28
6	и в	35	28
7	по отношению	4	26
8	в котором	4	24
9	отношению к	4	22
10	не есть	5	22
11	в себе	4	21
12	и его	6	18
13	только в	16	18
14	в своем	3	17
15	в ее	11	17
16	а не	5	17
17	в этом	35	15
18	не в	10	13
19	точки зрения	12	13
20	но не	9	12
21	и это	6	12
22	к нему	3	12
23	в своей	4	11
24	во всех	2	11
25	все эти	3	11
26	это не	8	10
27	в целом	5	10
28	от себя	3	10
29	и для	4	10
30	все это	6	10
31	с точки	4	10
32	и есть	3	10
33	в их	12	9
34	для нее	2	9
35	но и	7	9
36	единого и	2	9
37	как бы	7	9
38	себя в	2	8
39	если бы	3	8
40	не было	2	8
41	со стороны	16	8
42	жизни и	2	8
43	было бы	7	8
44	и здесь	3	7
45	должен быть	4	7
46	то что	19	7
47	уже не	6	7
48	что и	5	7
49	во всем	2	7
50	вовсе не	6	7
51	должно быть	2	6
52	отношение к	3	6
53	в том	38	6
54	но все	4	6
55	не имеет	4	6
56	но это	2	6
57	никогда не	3	5
58	его в	6	5
59	все же	9	5
60	не только	26	5
61	мы имеем	4	5
62	но как	2	5
63	хотя бы	6	5
64	то же	11	5
65	но ведь	4	5
66	еще не	4	5
67	а в	6	5
68	но в	10	5
69	есть лишь	2	5
70	как и	7	5
71	именно в	8	5
72	жизни как	2	5
73	в одном	4	5
74	в каком	3	4
75	что это	3	4
76	том что	30	4
77	нисколько не	3	4
78	что в	13	4
79	не как	3	4
80	и т.д	5	4
81	времени и	4	4
82	быть в	5	4
83	прежде всего	10	4
84	в чем	4	4
85	могло бы	2	4
86	в своих	2	4
87	входит в	3	4
88	при этом	3	4
89	только как	7	4
90	познания и	2	4
91	из него	2	4
92	должна быть	2	4
93	между тем	10	4
94	до конца	3	3
95	ничего не	2	3
96	в то	6	3
97	здесь не	3	3
98	в каждом	4	3
99	в другом	3	3
100	от того	3	3
101	тем что	6	3
102	и тем	5	3
103	для того	23	3
104	самом деле	7	3
105	в виду	5	3
106	себе и	2	3
107	лишь как	2	3
108	по своему	5	3
109	не менее	9	3
110	независимо от	5	3
111	только с	4	3
112	о том	16	3
113	в ней	3	3
114	в свою	2	3
115	могут быть	6	3
116	котором он	2	3
117	этом смысле	11	3
118	тогда когда	4	3
119	здесь нет	4	3
120	и совершенно	2	3
121	и на	3	3
122	что не	5	3
123	ближе к	2	3
124	того что	12	3
125	мы не	2	3
126	той или	3	3
127	из его	2	3
128	рядом с	2	3
129	бы и	3	3
130	отсюда и	2	3
131	быть и	2	3
132	ясно что	11	3
133	и то	7	2
134	для этого	3	2
135	в соответствии	2	2
136	только по	3	2
137	или иной	3	2
138	и потому	2	2
139	в данном	11	2
140	его к	2	2
141	или иным	2	2
142	как оно	3	2
143	говорить о	5	2
144	и ее	4	2
145	дело в	5	2
146	к этому	3	2
147	действительности в	2	2
148	дело не	5	2
149	деятельности и	2	2
150	вопрос о	10	2
151	в определенной	2	2
152	тем не	9	2
153	и как	9	2
154	в принципе	3	2
155	в виде	4	2
156	есть действительно	2	2
157	областей культуры	3	2
158	а как	5	2
159	и других	3	2
160	не со	2	2
161	это только	4	2
162	в области	4	2
163	а с	2	2
164	одного и	2	2
165	что он	5	2
166	из которых	3	2
167	или как	3	2
168	так и	2	2
169	ни к	2	2
170	отношении к	2	2
171	смысле в	2	2
172	с тем	6	2
173	это уже	2	2
174	как в	3	2
175	от этого	5	2
176	тому что	2	2
177	дело с	9	2
178	гораздо более	3	2
179	ни одна	2	2
180	другое дело	3	2
181	не нужно	2	2
182	соответствии с	2	2
183	мы говорим	3	2
184	и именно	13	2
185	он и	2	2
186	ее от	2	2
187	один из	6	2
188	по себе	11	2
189	потому что	18	2
190	совсем не	3	2
191	того чтобы	22	2
192	смысле и	2	2
193	и того	3	2
194	именно на	2	2
195	не следует	3	2
196	в качестве	8	2
197	же время	6	2
198	это есть	2	2
199	этого слова	2	2
200	в этой	3	2
