N	2gram	Propp_Isto	Vladivir
1	и в	44	116
2	то что	16	71
3	и не	19	67
4	не только	17	65
5	у него	7	65
6	в этом	20	53
7	в том	13	52
8	том что	12	51
9	что в	18	48
10	но и	16	47
11	в его	16	40
12	и с	8	39
13	сказать что	2	36
14	и даже	4	36
15	также и	2	36
16	там же	2	35
17	так что	2	35
18	потому что	18	33
19	еще и	2	32
20	что он	29	32
21	не может	10	31
22	о том	11	30
23	только в	8	30
24	никогда не	5	29
25	как мы	9	29
26	для него	2	29
27	вовсе не	6	27
28	а в	9	27
29	не было	2	26
30	в то	5	25
31	но в	7	25
32	и то	5	25
33	и его	15	25
34	даже и	2	24
35	а также	5	24
36	точки зрения	3	23
37	между прочим	2	23
38	может быть	31	23
39	он не	5	23
40	в виде	13	22
41	так как	19	22
42	он был	2	22
43	об этом	6	22
44	ни в	2	22
45	в своей	3	21
46	вместе с	26	21
47	а именно	8	20
48	в своем	3	20
49	прежде всего	7	20
50	для нас	6	20
51	и что	13	20
52	и потому	2	19
53	и вообще	3	19
54	так и	9	19
55	не менее	6	19
56	в дальнейшем	6	19
57	таким образом	21	19
58	в течение	2	19
59	тем не	6	19
60	не в	11	18
61	как это	5	18
62	как и	12	18
63	с его	3	18
64	не мог	3	18
65	что и	11	17
66	в этой	5	17
67	то это	8	17
68	а не	5	17
69	уже не	14	16
70	все же	17	16
71	того что	3	16
72	было бы	2	16
73	и все	4	16
74	в котором	2	16
75	в связи	6	15
76	но это	10	15
77	к этому	5	15
78	это было	2	15
79	несмотря на	3	15
80	то же	9	15
81	в своих	4	15
82	и к	3	15
83	того же	3	14
84	уже в	4	14
85	все эти	11	14
86	и как	5	14
87	и на	11	14
88	мы уже	6	14
89	так же	14	13
90	с тем	9	13
91	можно сказать	2	13
92	что это	8	13
93	жизни и	4	13
94	на этот	2	13
95	то время	3	13
96	во всем	4	13
97	и у	3	12
98	только на	2	12
99	ничего не	4	12
100	в нем	10	12
101	и по	3	12
102	связи с	10	12
103	то в	2	12
104	и это	5	12
105	если не	4	12
106	по себе	2	12
107	мы должны	7	11
108	всякого рода	3	11
109	еще в	2	11
110	и о	2	11
111	при этом	4	11
112	все это	4	11
113	в данном	3	11
114	хотя бы	2	11
115	в которой	4	11
116	и здесь	12	11
117	него в	2	11
118	то он	2	11
119	на то	3	11
120	в основном	5	11
121	даже в	4	10
122	такого рода	2	10
123	о нем	3	10
124	к нему	5	10
125	в ней	8	10
126	что его	4	10
127	что все	4	10
128	в качестве	13	10
129	в истории	7	10
130	еще не	16	10
131	но не	8	10
132	здесь не	3	10
133	с ним	9	10
134	это не	8	9
135	но как	2	9
136	о чем	6	9
137	мы знаем	12	9
138	а с	2	9
139	в целом	4	9
140	по существу	2	9
141	с этим	7	9
142	и сам	2	9
143	что касается	2	9
144	с другой	11	9
145	что мы	4	9
146	из этого	3	9
147	это время	2	9
148	но он	2	9
149	это мы	3	8
150	отношение к	3	8
151	себя в	6	8
152	как бы	4	8
153	из этих	5	8
154	и он	9	8
155	в этот	2	8
156	тем что	12	8
157	это значит	2	8
158	с этой	4	8
159	в этих	7	8
160	как в	11	8
161	и для	3	8
162	после смерти	3	8
163	когда он	7	8
164	со стороны	6	8
165	в это	3	8
166	которой он	2	8
167	значит что	2	8
168	к его	2	7
169	другими словами	4	7
170	в доме	3	7
171	но даже	2	7
172	в свое	2	7
173	как он	6	7
174	при помощи	11	7
175	не имеет	4	7
176	к этой	3	7
177	себе и	2	7
178	на первом	2	7
179	мы читаем	2	7
180	точно так	3	7
181	того чтобы	3	7
182	же в	3	7
183	здесь мы	7	7
184	е в	6	7
185	но вот	2	7
186	из его	2	7
187	мы видели	9	7
188	и мы	3	7
189	даже не	2	7
190	если бы	5	7
191	и вот	4	7
192	или как	3	7
193	к ней	2	7
194	но если	2	7
195	но все	8	7
196	в одном	2	7
197	что этот	5	7
198	в таком	2	7
199	и есть	3	7
200	в них	3	7
201	выше мы	2	7
202	мы и	3	7
203	данном случае	2	6
204	его в	17	6
205	на себя	4	6
206	что здесь	9	6
207	есть и	3	6
208	есть не	2	6
209	к своему	2	6
210	его на	5	6
211	под влиянием	2	6
212	время как	3	6
213	другой стороны	10	6
214	что она	3	6
215	на него	10	6
216	и наконец	2	6
217	для того	3	6
218	такой же	3	6
219	мы не	6	6
220	и из	3	6
221	той же	2	6
222	главным образом	2	6
223	не говорит	2	6
224	по его	2	6
225	в очень	2	5
226	но мы	5	5
227	вопрос о	5	5
228	вера в	2	5
229	друг друга	5	5
230	подобного рода	2	5
231	на все	2	5
232	и тем	7	5
233	в частности	9	5
234	она не	7	5
235	он в	3	5
236	этого не	2	5
237	один из	6	5
238	что с	2	5
239	что они	3	5
240	во время	12	5
241	ее в	8	5
242	увидим ниже	4	5
243	мы имеем	22	5
244	во всех	3	5
245	со своим	2	5
246	но уже	5	5
247	что у	6	5
248	им в	2	5
249	в свою	3	5
250	с которым	3	5
251	из них	4	5
252	говорит о	4	5
253	как на	3	5
254	в свой	3	4
255	перед нами	2	4
256	всех этих	2	4
257	тем самым	2	4
258	о которых	4	4
259	не могут	2	4
260	в тех	4	4
261	человека и	2	4
262	но для	4	4
263	не будем	6	4
264	оказывается что	2	4
265	ясно что	5	4
266	наряду с	7	4
267	то мы	3	4
268	на свою	2	4
269	и вместе	3	4
270	это и	3	4
271	и других	5	4
272	он всегда	2	4
273	совершенно не	2	4
274	как у	2	4
275	у них	2	4
276	после этого	3	4
277	что даже	2	4
278	одной из	3	4
279	и т	39	4
280	мог бы	2	4
281	в более	6	4
282	так в	5	4
283	одной стороны	7	4
284	уже тогда	2	4
285	него и	6	4
286	уже и	3	4
287	представление о	22	4
288	тех же	2	4
289	с этими	3	4
290	время в	2	4
291	с ней	2	4
292	которые не	2	4
293	не имели	3	4
294	мы можем	6	4
295	т д	36	4
296	себе в	3	4
297	только что	3	4
298	чтобы он	3	4
299	мы увидим	6	4
300	лишь в	2	4
301	в особенности	6	4
302	и другие	5	4
303	уже давно	3	4
304	с одной	7	4
305	и более	3	4
306	можно найти	4	4
307	том чтобы	3	4
308	со своими	3	4
309	и сейчас	3	4
310	их в	7	4
311	знаем что	10	4
312	и стал	2	4
313	на этом	5	4
314	в египте	14	4
315	ему в	3	4
316	в книге	3	3
317	как можно	2	3
318	возможно что	2	3
319	к этим	3	3
320	не имеют	2	3
321	от него	2	3
322	бы мы	4	3
323	без всяких	4	3
324	не как	5	3
325	в другом	2	3
326	в силу	7	3
327	роль в	3	3
328	но эта	2	3
329	между ними	2	3
330	и при	3	3
331	мы здесь	4	3
332	самом деле	2	3
333	на вопрос	3	3
334	здесь нет	3	3
335	его не	3	3
336	на котором	3	3
337	также что	3	3
338	так например	3	3
339	его к	3	3
340	а если	2	3
341	что не	3	3
342	из своего	4	3
343	мы приведем	2	3
344	и она	3	3
345	здесь же	2	3
346	не говорится	2	3
347	и др	6	3
348	ли он	2	3
349	же как	12	3
350	находится в	2	3
351	все еще	6	3
352	два года	2	3
353	он стал	2	3
354	том числе	3	3
355	того как	8	3
356	некоторое время	2	3
357	очень часто	4	3
358	одно и	2	3
359	с ними	4	3
360	ее на	2	3
361	особенно в	2	3
362	но то	2	3
363	очень много	2	3
364	за что	2	3
365	как говорит	3	3
366	одним из	4	3
367	не могло	2	3
