N	3gram	Propp_Isto	FransuaR
1	до сих пор	11	27
2	в том что	6	27
3	в большинстве случаев	4	22
4	о том что	5	17
5	в связи с	5	16
6	большей или меньшей	2	16
7	но и в	4	15
8	на самом деле	2	13
9	не может быть	8	13
10	дело в том	3	13
11	с одной стороны	7	13
12	в другом месте	2	12
13	с другой стороны	7	12
14	в отличие от	3	11
15	до наших дней	2	10
16	не только в	5	10
17	по отношению к	6	9
18	мы видим что	12	9
19	более или менее	5	8
20	мы видели что	3	8
21	после того как	2	8
22	можно было бы	5	7
23	это конечно не	2	7
24	подобно тому как	3	7
25	о том как	2	7
26	в то время	3	7
27	с самого начала	4	6
28	но все же	7	6
29	за то что	2	6
30	мы имеем в	4	5
31	то же самое	3	5
32	вместо того чтобы	2	5
33	в это время	2	5
34	и тот же	2	5
35	друг с другом	3	5
36	потому что он	2	5
37	один и тот	2	4
38	так например в	5	4
39	как мы увидим	2	4
40	то что в	2	4
41	так же как	6	4
42	на этот вопрос	2	4
43	бы то ни	2	3
44	как один из	2	3
45	все же не	2	3
46	есть не что	2	3
47	вместе с тем	7	3
48	со всех сторон	4	3
49	что иное как	3	3
50	руки и ноги	2	3
51	не что иное	3	3
52	в одном месте	2	3
53	с представлениями о	3	2
54	это один из	2	2
55	в таких случаях	4	2
56	мы знаем что	7	2
57	в этом случае	3	2
58	то ни было	2	2
59	мы не можем	3	2
60	мы уже знаем	3	2
61	по этому поводу	2	2
62	и вместе с	2	2
63	мы не будем	4	2
64	того как он	2	2
65	и в ней	3	2
66	и в нем	2	2
67	мы уже видели	4	2
68	уже знаем что	2	2
69	в этой роли	2	2
70	этот вопрос мы	2	2
