N	3gram	Tiupa_Anal	Problemy
1	то же время	7	26
2	в то же	9	26
3	с точки зрения	6	25
4	по отношению к	9	18
5	и т п	3	18
6	в этом смысле	3	16
7	не может быть	17	14
8	но в то	2	11
9	с самим собой	2	9
10	в самом деле	3	9
11	с другой стороны	2	9
12	и не может	4	8
13	друг с другом	2	8
14	в том что	13	8
15	бы то ни	3	7
16	как раз и	2	7
17	и в этом	4	7
18	том что он	2	6
19	в отличие от	8	6
20	то ни было	3	6
21	между тем как	2	6
22	по крайней мере	4	5
23	той или иной	8	5
24	к тому же	6	5
25	подобно тому как	5	5
26	в той или	3	5
27	тем не менее	3	4
28	и не в	4	4
29	более или менее	2	4
30	о том что	8	4
31	как и в	2	4
32	сами по себе	3	4
33	в этом отношении	5	4
34	а в то	2	3
35	и то же	2	3
36	большей или меньшей	4	3
37	того и другого	2	3
38	в данном случае	3	3
39	на то что	2	3
40	одно и то	2	3
41	не только не	2	3
42	и в самом	3	3
43	но и не	5	3
44	в этом случае	4	3
45	в том и	2	3
46	прежде всего в	2	2
47	то же самое	3	2
48	и к тому	2	2
49	этой точки зрения	2	2
50	а не в	3	2
51	какой бы то	2	2
52	не только в	3	2
53	к тому что	2	2
54	я и другого	2	2
55	как бы не	2	2
56	для того чтобы	3	2
57	внутреннего и внешнего	2	2
58	в том или	3	2
