N	3gram	Propp_Russ	Vladivir
1	в том что	27	29
2	о том что	6	22
3	тем не менее	3	18
4	в то время	3	13
5	в связи с	4	12
6	с точки зрения	3	10
7	вместе с тем	10	10
8	на то что	2	8
9	в это время	3	7
10	в данном случае	7	6
11	том что в	7	6
12	в отличие от	4	6
13	в настоящее время	3	6
14	и в этом	2	6
15	и потому что	2	5
16	и в том	2	5
17	мы увидим ниже	2	4
18	как мы уже	2	4
19	не что иное	3	4
20	к этому времени	2	4
21	можно было бы	2	4
22	для того чтобы	6	4
23	что иное как	3	4
24	что в этом	2	4
25	и т д	12	4
26	в том чтобы	2	4
27	кроме того в	3	3
28	иметь в виду	2	3
29	на себя внимание	2	3
30	но это не	3	3
31	по этому поводу	3	3
32	к тому что	4	3
33	не только на	3	3
34	на самом же	2	3
35	самом же деле	2	3
36	в свою очередь	2	3
37	но вместе с	3	2
38	мы уже знаем	2	2
39	так как это	2	2
40	после того как	3	2
41	может быть и	3	2
42	так же как	5	2
43	мы не будем	4	2
44	там же в	3	2
45	как мы увидим	5	2
46	бросается в глаза	3	2
47	так как в	2	2
48	в этом случае	9	2
