N	2gram	Medvedev_S	Russkaja
1	в том	5	17
2	в этом	5	17
3	и в	3	14
4	то что	2	13
5	то же	2	11
6	таким образом	2	11
7	но и	2	10
8	не только	3	9
9	том что	2	9
10	может быть	2	9
11	все это	7	6
12	было бы	2	5
13	только в	2	5
14	и только	3	5
15	по существу	2	5
16	что в	2	4
17	не в	3	4
18	как бы	2	4
19	в его	3	4
20	она может	2	3
21	главным образом	2	3
22	в конце	2	3
23	конце концов	2	3
24	еще не	2	3
25	в результате	2	2
26	по отношению	2	2
27	для нас	3	2
28	и что	2	2
29	в частности	2	2
30	как будто	2	2
31	должна быть	2	2
