N	3gram	Vinokur_St	EvropaiE
1	с точки зрения	10	16
2	в то же	5	15
3	то же время	5	14
4	с одной стороны	2	8
5	в том что	29	6
6	для того чтобы	13	5
7	так же как	5	5
8	бы то ни	2	4
9	не только в	4	4
10	и в этом	4	4
11	того или иного	4	4
12	во всяком случае	8	3
13	в применении к	3	3
14	как бы ни	2	3
15	в этом отношении	13	3
16	в этом смысле	2	3
17	хотя бы и	2	3
18	можно было бы	8	3
19	и только в	3	2
20	то что в	3	2
21	в данном случае	7	2
22	сказать что в	3	2
23	в одном из	4	2
24	с другой стороны	8	2
25	только в том	3	2
26	на то что	5	2
27	не говоря уже	2	2
28	но в то	2	2
29	так и в	5	2
30	заключается в том	4	2
31	не может быть	5	2
