N	2gram	Savitsky_E	EvropaiC
1	таким образом	2	34
2	в том	11	31
3	и в	37	24
4	том что	6	20
5	культурных ценностей	6	20
6	не может	9	18
7	то что	6	18
8	может быть	6	17
9	точки зрения	23	14
10	в этом	12	13
11	в своем	14	12
12	с этим	2	12
13	между тем	8	12
14	но и	14	11
15	культуры и	2	11
16	не только	18	10
17	европейской цивилизации	4	10
18	так и	10	10
19	во всех	6	10
20	как и	7	10
21	культуры в	4	10
22	как бы	6	10
23	в результате	3	9
24	друг с	3	9
25	и не	14	9
26	не в	5	9
27	что в	21	9
28	и все	2	9
29	на то	6	9
30	с другом	3	9
31	того же	3	9
32	потому что	3	9
33	и что	2	9
34	так же	9	8
35	земного шара	9	8
36	если бы	2	8
37	для того	6	8
38	европейской культуры	3	8
39	к тому	8	8
40	в самом	4	8
41	того чтобы	6	8
42	с точки	17	8
43	так как	7	7
44	в силу	2	7
45	по своей	2	7
46	данного народа	3	7
47	того что	7	7
48	о том	3	7
49	что и	3	7
50	в этой	2	7
51	вместе с	2	7
52	в мире	2	6
53	только в	9	6
54	друг от	2	6
55	в то	16	6
56	должна быть	2	6
57	и для	3	6
58	с другой	7	6
59	в общем	3	6
60	от друга	2	6
61	и если	2	6
62	и на	6	6
63	мы можем	3	6
64	несмотря на	4	6
65	как на	3	6
66	народов и	3	6
67	и от	3	5
68	европейской культуре	2	5
69	по сравнению	2	5
70	в себе	9	5
71	бороться с	2	5
72	из них	3	5
73	что это	2	5
74	из всех	3	5
75	по своему	7	5
76	этих народов	3	5
77	что все	2	5
78	далеко не	2	5
79	но в	14	5
80	столь же	5	5
81	именно в	4	5
82	и с	2	5
83	и к	3	5
84	другой стороны	2	5
85	не будет	3	5
86	в его	2	5
87	как будто	2	5
88	сравнению с	2	5
89	никогда не	3	4
90	и то	2	4
91	другие народы	2	4
92	не могут	2	4
93	из того	2	4
94	мы должны	2	4
95	хотя бы	15	4
96	то ни	4	4
97	чем больше	2	4
98	этой культуры	2	4
99	целый ряд	2	4
100	отрицательных последствий	2	4
101	иначе говоря	2	4
102	то же	15	4
103	с течением	2	4
104	в их	11	4
105	в области	11	4
106	в виде	5	4
107	в течение	5	4
108	между собой	2	4
109	с тем	3	4
110	и сейчас	2	4
111	значительная часть	3	4
112	культуры как	2	4
113	течением времени	2	4
114	не есть	2	4
115	в европейской	2	4
116	в психологии	3	4
117	в таком	3	4
118	он не	2	4
119	народ и	3	4
120	хотя и	2	4
121	даже в	4	3
122	данном случае	2	3
123	представление о	2	3
124	вопрос о	4	3
125	тем самым	5	3
126	при помощи	2	3
127	в культурном	3	3
128	что если	2	3
129	культуру в	2	3
130	и потому	5	3
131	различия в	3	3
132	тем более	4	3
133	бы в	2	3
134	но даже	4	3
135	ни было	4	3
136	очевидно что	3	3
137	с этой	6	3
138	в этих	2	3
139	является ли	3	3
140	и других	2	3
141	и наконец	2	3
142	но по	2	3
143	прежде всего	9	3
144	с одной	8	3
145	но не	5	3
146	в данном	3	3
147	а в	2	3
148	бы то	4	3
149	только те	2	3
150	в ней	4	3
151	с более	3	3
152	тогда когда	2	3
153	для нас	4	3
154	в сторону	2	3
155	с в	2	3
156	человеческого рода	2	3
157	народов которые	2	3
158	было бы	8	3
159	и по	5	3
160	всеобщей европеизации	3	3
161	в истории	2	3
162	только одно	2	3
163	случаях когда	2	3
164	же как	5	3
165	и того	2	3
166	заключается в	2	3
167	уже и	3	3
168	как мы	5	3
169	чем в	4	3
170	всеми или	2	2
171	помнить что	2	2
172	меньше чем	2	2
173	то в	4	2
174	независимо от	4	2
175	в процессе	4	2
176	но как	2	2
177	к ним	3	2
178	или поздно	2	2
179	этот процесс	2	2
180	и поэтому	2	2
181	то которое	2	2
182	то есть	6	2
183	свою очередь	2	2
184	но если	5	2
185	и народов	3	2
186	как не	2	2
187	для удовлетворения	4	2
188	в частности	5	2
189	и качественной	8	2
190	на долю	3	2
191	такой же	2	2
192	эти последние	2	2
193	к той	2	2
194	культур и	3	2
195	всех прочих	2	2
196	культуры но	2	2
197	мы видели	3	2
198	свой народ	3	2
199	именно потому	2	2
200	есть в	2	2
201	равноценности и	7	2
202	от них	3	2
203	на месте	2	2
204	рано или	2	2
205	в эту	2	2
206	не имеет	4	2
207	также и	7	2
208	к нему	2	2
209	она не	2	2
210	же мало	2	2
211	европейцев над	2	2
212	в котором	2	2
213	в англию	2	2
214	во втором	2	2
215	в своих	2	2
216	в свою	3	2
217	этот вопрос	2	2
218	что на	2	2
219	культур по	2	2
220	в которых	3	2
221	одной стороны	8	2
222	но на	3	2
223	между прочим	7	2
224	между ними	2	2
225	отнюдь не	9	2
226	всех культур	3	2
227	в них	3	2
228	можно ли	3	2
229	ко всему	2	2
230	что же	2	2
231	культурной ценности	3	2
232	всяком случае	3	2
233	тех народов	3	2
234	жизни и	2	2
235	и некоторые	3	2
236	культуры с	2	2
237	во всяком	3	2
238	от эгоцентризма	5	2
239	в гораздо	2	2
240	не более	3	2
241	же время	14	2
242	и только	3	2
243	во всей	2	2
244	заключает в	3	2
245	и более	2	2
246	что эти	2	2
247	но с	2	2
248	качественной несоизмеримости	6	2
249	имеет место	2	2
250	тем меньше	2	2
251	вовсе не	6	2
252	при условии	2	2
