N	2gram	Losev_Vesc	Tvorches
1	и в	44	56
2	как бы	19	41
3	в его	5	37
4	в то	11	30
5	то же	12	25
6	не только	48	24
7	но в	8	24
8	же время	4	24
9	то есть	2	23
10	и его	4	23
11	и не	57	23
12	а в	6	23
13	как и	15	23
14	и т	37	22
15	в этом	17	22
16	в том	15	21
17	что в	11	21
18	том что	13	19
19	он не	4	19
20	может быть	37	19
21	потому что	25	19
22	у него	3	18
23	то что	47	18
24	что он	7	17
25	все это	7	17
26	т д	36	17
27	и на	2	17
28	таким образом	16	17
29	никогда не	5	16
30	прежде всего	17	16
31	как в	3	16
32	не может	44	16
33	но и	19	16
34	в этой	4	15
35	с его	2	15
36	но это	14	15
37	и с	11	15
38	это не	9	14
39	и даже	12	14
40	о том	11	13
41	а не	34	13
42	тем самым	2	12
43	в целом	3	12
44	в котором	4	12
45	все же	18	11
46	в своей	6	11
47	для него	8	11
48	отнюдь не	8	11
49	в конце	3	10
50	не в	14	10
51	так и	4	10
52	уже в	2	10
53	но не	9	10
54	в самом	13	10
55	когда он	2	10
56	он сам	2	10
57	только в	23	10
58	как будто	2	10
59	в свою	5	9
60	по природе	2	9
61	в нем	6	9
62	один из	5	9
63	а затем	2	9
64	и от	4	9
65	жизни в	3	9
66	наряду с	2	9
67	в своих	3	9
68	так же	4	8
69	в себе	23	8
70	человека и	3	8
71	в их	4	8
72	не менее	11	8
73	это уже	2	8
74	так как	17	8
75	тогда как	3	8
76	вовсе не	11	8
77	к этому	2	8
78	об этом	5	8
79	еще не	12	8
80	именно в	2	8
81	хотя и	5	8
82	вместе с	4	8
83	казалось бы	3	7
84	самом деле	7	7
85	в чем	10	7
86	что она	23	7
87	в которой	5	7
88	не случайно	2	7
89	уже не	15	7
90	и сам	3	7
91	его в	8	6
92	приводит к	2	6
93	так что	9	6
94	и все	6	6
95	не столько	2	6
96	все эти	5	6
97	и ее	19	6
98	если он	3	6
99	одна из	6	6
100	хотя бы	9	6
101	и как	12	6
102	если бы	8	6
103	еще более	4	6
104	с ним	8	6
105	а потому	2	6
106	ничего не	12	5
107	но если	12	5
108	и у	4	5
109	однако это	3	5
110	но эта	2	5
111	как он	2	5
112	в виде	3	5
113	это все	3	5
114	в своем	9	5
115	а с	3	5
116	не так	2	5
117	и это	17	5
118	быть может	3	5
119	значит что	32	5
120	что не	11	5
121	что и	11	5
122	в ее	8	5
123	мы не	8	5
124	что они	12	5
125	в истории	3	5
126	тот же	4	5
127	что это	18	5
128	в россии	2	5
129	с этим	4	5
130	в первой	2	5
131	дело не	4	5
132	мысли и	5	5
133	на него	3	5
134	и другие	2	5
135	что у	5	5
136	с другой	8	5
137	что я	26	5
138	если не	3	5
139	из них	7	5
140	я не	7	5
141	не было	4	5
142	но с	2	5
143	перед нами	3	4
144	при помощи	4	4
145	и потому	8	4
146	крайней мере	10	4
147	не был	2	4
148	это и	12	4
149	только на	3	4
150	в частности	3	4
151	как это	4	4
152	того что	16	4
153	что все	2	4
154	в в	2	4
155	к нему	3	4
156	но только	4	4
157	он говорит	2	4
158	точки зрения	10	4
159	ту же	2	4
160	что на	2	4
161	а а	2	4
162	однако в	3	4
163	же не	4	4
164	же как	3	4
165	с ними	4	4
166	мы видим	5	4
167	было в	3	4
168	в основе	4	4
169	говорит о	3	4
170	и когда	5	4
171	и мы	5	4
172	тут же	4	4
173	но эти	2	4
174	нет ничего	2	4
175	по преимуществу	2	4
176	дело в	6	4
177	себя в	11	4
178	это значит	30	4
179	превращается в	3	4
180	тем что	7	4
181	и есть	40	4
182	с этой	6	4
183	его и	4	4
184	по крайней	10	4
185	и более	4	4
186	не мог	3	4
187	далеко не	2	4
188	не вполне	2	4
189	с собой	2	4
190	этот вопрос	6	4
191	с точки	6	4
192	говорить о	9	4
193	той же	2	4
194	и тут	7	4
195	но он	2	4
196	не есть	79	3
197	этого вопроса	3	3
198	ее и	2	3
199	я бы	2	3
200	даже не	8	3
201	к себе	4	3
202	в другом	3	3
203	отношение к	4	3
204	как к	5	3
205	для себя	6	3
206	в виду	2	3
207	на все	2	3
208	и тем	7	3
209	со стороны	9	3
210	сам себя	4	3
211	действительности и	5	3
212	но что	9	3
213	от ее	6	3
214	идеи и	3	3
215	мы находим	5	3
216	о котором	2	3
217	в свете	8	3
218	только с	3	3
219	к тому	3	3
