N	2gram	Berdyaev_O	Stilisti
1	и в	19	42
2	как бы	3	30
3	не только	11	28
4	прежде всего	9	22
5	хотя бы	3	18
6	но и	13	16
7	и не	13	14
8	не может	4	13
9	может быть	11	13
10	как и	6	12
11	в себе	3	10
12	в этом	12	10
13	для того	3	9
14	все же	2	9
15	то что	5	9
16	ничего не	2	8
17	так как	2	8
18	с тем	2	8
19	что же	2	8
20	с его	4	8
21	никогда не	9	7
22	и от	3	7
23	в которой	2	7
24	так и	2	7
25	потому что	9	7
26	а не	11	7
27	и на	2	7
28	того чтобы	4	7
29	было бы	3	7
30	и его	4	7
31	не в	11	6
32	в нем	10	6
33	в его	7	6
34	в этой	5	6
35	и то	2	5
36	своей жизни	2	5
37	а в	5	5
38	но в	2	5
39	в самом	5	5
40	и с	2	5
41	уже в	2	5
42	его в	2	4
43	лишь в	7	4
44	того что	3	4
45	всего в	2	4
46	и все	10	4
47	о том	3	4
48	и к	2	4
49	все это	6	4
50	сказать что	2	3
51	это не	3	3
52	том что	2	3
53	в том	5	3
54	еще не	3	3
55	и вот	3	3
56	для него	5	3
57	и для	2	3
58	что у	2	3
59	быть может	3	3
60	хотя и	2	3
61	природы он	2	3
62	что и	2	3
63	в ее	2	3
64	все эти	4	3
65	до конца	7	2
66	человека все	2	2
67	вопрос о	10	2
68	и все-таки	2	2
69	и потому	2	2
70	нет ничего	7	2
71	человека и	10	2
72	должно быть	2	2
73	и нет	2	2
74	к этому	2	2
75	отношение к	5	2
76	из всего	2	2
77	тем что	2	2
78	человека в	11	2
79	в этих	3	2
80	что он	3	2
81	и ни	2	2
82	его не	2	2
83	подойти к	2	2
84	в душе	2	2
85	к нему	3	2
86	в своих	3	2
87	даже и	2	2
88	не есть	2	2
89	и он	8	2
90	и ивана	2	2
91	не было	9	2
92	человек не	7	2
93	в своей	2	2
94	он не	7	2
95	природы и	2	2
96	с ним	3	2
97	для всякого	2	2
