N	2gram	Savitsky_P	NovoeSre
1	а не	2	17
2	и в	14	16
3	не может	4	16
4	и не	12	11
5	и есть	2	10
6	что в	4	9
7	в том	9	8
8	может быть	5	7
9	в этом	10	7
10	не в	5	6
11	не только	17	5
12	в жизни	2	5
13	все это	2	5
14	в нем	3	5
15	в ней	6	5
16	и к	4	5
17	культуры в	2	5
18	xix века	6	5
19	должно быть	2	4
20	в них	2	4
21	прежде всего	3	4
22	не менее	2	4
23	не было	2	4
24	и потому	4	4
25	и мы	2	4
26	то что	4	4
27	это не	3	4
28	потому что	3	4
29	быть может	6	4
30	в мире	2	3
31	но и	6	3
32	с другой	5	3
33	в ее	2	3
34	духа и	2	3
35	в россии	3	3
36	и пр	5	3
37	во всех	2	3
38	наряду с	3	3
39	с тем	3	3
40	в себе	3	2
41	и с	2	2
42	одна из	2	2
43	но не	3	2
44	думать что	2	2
45	в русском	2	2
46	xix век	2	2
47	и это	2	2
48	хотя бы	8	2
49	а в	4	2
50	но в	9	2
51	том что	4	2
52	не к	2	2
53	с этим	2	2
54	есть в	2	2
55	мы не	3	2
56	на путях	4	2
57	в смысле	6	2
58	помнить что	2	2
59	могут быть	3	2
60	одной стороны	3	2
61	в то	7	2
62	в судьбах	6	2
63	хотя и	3	2
64	с одной	3	2
65	русской революции	2	2
