N	2gram	Berdyaev_V	UchenyiS
1	и в	16	14
2	не только	2	10
3	а не	7	10
4	и не	20	8
5	прежде всего	2	8
6	то что	9	7
7	вот почему	2	7
8	в этом	4	7
9	хотя бы	3	5
10	все это	5	5
11	но и	5	4
12	конечно не	2	4
13	это не	2	3
14	и то	2	3
15	в своей	3	3
16	как и	4	3
17	но в	3	3
18	для него	2	3
19	что мы	4	2
20	мы и	2	2
21	является в	2	2
22	что он	4	2
23	но не	2	2
24	и для	3	2
25	более чем	2	2
26	между тем	2	2
27	только в	2	2
28	не есть	6	2
29	что и	3	2
30	могут быть	2	2
31	а между	2	2
32	не могут	2	2
33	превращается в	3	2
34	тем что	2	2
35	том что	2	2
36	в его	4	2
37	в том	3	2
38	что все	4	2
39	если не	3	2
40	с его	3	2
41	должна быть	3	2
42	его и	2	2
43	но это	3	2
44	не в	3	2
45	бы и	3	2
46	в конце	3	2
47	мы не	2	2
