N	3gram	Bakhtin_Pr	Formalny
1	с точки зрения	6	40
2	не может быть	11	29
3	на самом деле	3	21
4	то же время	3	20
5	в то же	3	20
6	и т п	13	18
7	по отношению к	19	12
8	так и в	2	11
9	в самом деле	3	11
10	в этом отношении	2	11
11	бы то ни	3	10
12	в его целом	5	10
13	в большинстве случаев	5	9
14	и не может	2	9
15	с другой стороны	4	9
16	для того чтобы	2	8
17	с одной стороны	3	8
18	в применении к	3	7
19	то ни было	2	7
20	в высшей степени	5	7
21	того или иного	2	7
22	в данном случае	4	6
23	в художественном произведении	4	6
24	и в то	2	6
25	в том что	3	6
26	в этом смысле	3	5
27	в отличие от	5	5
28	не входит в	4	4
29	русский формальный метод	2	4
30	тем не менее	3	4
31	не могут быть	2	4
32	в лучшем случае	2	4
33	не следует что	2	4
34	но и в	2	4
35	то же самое	2	3
36	на первый план	2	3
37	то или иное	2	3
38	во всех своих	2	3
39	как мы увидим	3	3
40	в противном случае	3	3
41	точки зрения самого	2	3
42	и в частности	2	3
43	все то что	3	2
44	и прежде всего	5	2
45	в строгом смысле	2	2
46	не совпадает с	2	2
47	произведение в его	3	2
48	но отнюдь не	7	2
49	может быть только	3	2
50	не может и	2	2
51	не выходя за	3	2
52	всех своих моментах	2	2
53	в известной степени	2	2
54	в области познания	2	2
55	в изобразительных искусствах	2	2
56	к нему и	2	2
57	между тем как	5	2
58	формы и содержания	2	2
59	не только в	2	2
60	ни в чем	2	2
61	художественном произведении как	2	2
62	и тем самым	2	2
63	за его пределы	2	2
64	со всех сторон	2	2
65	в какой мере	2	2
66	может и не	2	2
67	основных понятий и	2	2
68	совершенно независимо от	2	2
