N	3gram	Vygotskiy_	Russkaja
1	друг с другом	10	14
2	с точки зрения	11	9
3	в том что	41	7
4	для того чтобы	14	6
5	во всяком случае	10	6
6	до сих пор	3	5
7	на то что	5	4
8	в том случае	2	4
9	более или менее	3	4
10	не может быть	5	4
11	вместе с тем	11	3
12	в этом случае	4	3
13	том случае если	2	3
14	той или иной	2	3
15	и то что	3	3
16	можно было бы	8	3
17	тогда когда они	2	2
18	таким же образом	2	2
19	что он не	2	2
20	точно так же	4	2
21	и во всяком	2	2
22	и тем самым	3	2
23	из которых каждый	2	2
24	в себе и	2	2
25	того или иного	2	2
26	и вместе с	2	2
27	только в том	4	2
28	о том что	3	2
29	тот факт что	7	2
30	друг от друга	2	2
