N	3gram	Bakhtin_Pr	Literetu
1	в то же	10	21
2	то же время	10	21
3	в том что	10	21
4	по отношению к	17	12
5	в данном случае	3	11
6	в отличие от	3	11
7	не может быть	8	11
8	о том что	5	10
9	в этом отношении	7	10
10	с точки зрения	21	8
11	с другой стороны	3	7
12	подобно тому как	5	6
13	не только в	2	6
14	в русской литературе	2	5
15	этой точки зрения	3	5
16	бы то ни	3	4
17	то ни было	2	4
18	а не как	4	3
19	во всяком случае	3	3
20	той или иной	3	3
21	на самом деле	4	3
22	по крайней мере	3	3
23	то что я	2	3
24	в самом деле	5	3
25	но с другой	2	3
26	в целом ряде	2	3
27	но и не	2	3
28	в одном из	3	3
29	а не только	2	2
30	то что было	3	2
31	для того чтобы	3	2
32	же время не	3	2
33	а прежде всего	2	2
34	потому что не	2	2
35	только то что	2	2
36	в художественном мире	2	2
37	между тем как	4	2
38	что он сам	2	2
39	в то что	2	2
40	можно было бы	4	2
41	в самом начале	3	2
