N	3gram	Voloshinov	Morfolog
1	мы видим что	2	11
2	в этом случае	3	10
3	не может быть	2	9
4	в связи с	2	9
5	по отношению к	2	7
6	с точки зрения	5	6
7	как мы увидим	2	5
8	связи с этим	2	5
9	на самом деле	3	4
10	но все же	3	4
11	к тому что	2	4
12	о том что	2	3
13	для того чтобы	7	3
14	на первый взгляд	2	3
15	в тех случаях	2	2
16	мы увидим что	2	2
17	не что иное	2	2
18	что иное как	2	2
19	для наших целей	2	2
20	к чему не	2	2
21	в этом отношении	2	2
22	ни к чему	2	2
23	мы уже видели	3	2
24	которое может быть	3	2
25	тех случаях когда	2	2
