N	3gram	Tiupa_Vved	Problema
1	тем не менее	3	56
2	о том что	6	39
3	в том что	10	37
4	то же самое	2	30
5	в данном случае	15	28
6	той или иной	4	26
7	во всяком случае	3	25
8	с другой стороны	2	25
9	на то что	2	19
10	в то же	5	17
11	как будто бы	3	14
12	на самом деле	4	13
13	можно было бы	2	13
14	не может быть	6	12
15	с одной стороны	9	11
16	более или менее	2	10
17	не только в	3	10
18	и тем самым	2	10
19	что же касается	2	9
20	хотя и не	2	7
21	к тому же	6	7
22	но и в	3	7
23	на первый взгляд	3	6
24	в самом деле	2	6
25	в этом отношении	7	6
26	а также и	2	5
27	на этот раз	2	5
28	пока еще не	4	5
29	как мы видели	3	4
30	друг от друга	2	4
31	а с другой	3	4
32	в этих случаях	2	4
33	подобно тому как	3	4
34	мы имеем дело	5	4
35	в смысловом отношении	2	4
36	в том чтобы	2	4
37	как и в	2	3
38	тем более не	2	3
39	в отличие от	11	3
40	одной стороны и	3	3
41	в войне и	2	2
42	по отношению к	11	2
43	в основе своей	2	2
44	и для нас	2	2
45	и все же	6	2
46	в свою очередь	5	2
47	друг на друга	2	2
48	не было и	2	2
49	в частности в	2	2
50	а то и	2	2
51	тому или иному	2	2
52	как и у	2	2
53	как и для	3	2
54	войне и мире	2	2
55	а в том	3	2
