N	2gram	Voloshinov	Hudozhes
1	и в	16	23
2	не только	7	20
3	в том	3	20
4	может быть	17	19
5	при этом	6	19
6	в частности	2	18
7	и не	4	16
8	но и	4	14
9	а в	3	13
10	то же	2	12
11	в этом	9	12
12	и его	8	12
13	так и	4	12
14	как бы	5	11
15	точки зрения	8	11
16	в его	4	11
17	сводится к	2	11
18	но в	4	10
19	в душе	2	9
20	том что	3	9
21	не может	8	9
22	в области	3	8
23	в самом	2	7
24	и т.п	2	7
25	отношение к	5	7
26	я и	6	7
27	в своей	2	7
28	только в	4	7
29	как это	3	7
30	что в	3	7
31	в основе	3	7
32	в нем	4	6
33	с ее	4	6
34	можно сказать	4	6
35	художественного творчества	4	6
36	с его	7	6
37	ни в	5	5
38	с другими	3	5
39	конечном счете	2	5
40	могут быть	3	5
41	в конечном	3	5
42	между ними	3	5
43	а на	2	5
44	что он	2	5
45	не на	2	5
46	то что	3	5
47	не менее	2	5
48	прежде всего	9	5
49	для него	6	5
50	сказать что	7	4
51	его в	4	4
52	не знает	2	4
53	и как	3	4
54	еще не	5	4
55	говорить о	2	4
56	в этих	3	4
57	он не	2	4
58	и о	2	4
59	отношения к	3	4
60	в жизни	2	3
61	и для	2	3
62	по своему	2	3
63	и притом	3	3
64	и ее	4	3
65	как и	2	3
66	того же	2	3
67	их в	3	3
68	что можно	2	3
69	и к	6	3
70	во всех	3	3
71	из этих	2	3
72	и на	4	3
73	не будет	2	3
74	с точки	6	3
75	себя и	2	3
76	с этой	2	3
77	таким образом	9	3
78	есть в	2	3
79	во всей	2	3
80	этом смысле	3	3
81	в пределах	2	3
82	в одном	3	3
83	никогда не	2	2
84	о том	2	2
85	в каком	2	2
86	и др	3	2
87	и это	6	2
88	ее в	2	2
89	и потому	3	2
90	в чем	5	2
91	что такое	5	2
92	для меня	2	2
93	но как	2	2
94	все эти	5	2
95	мира и	3	2
96	оно не	2	2
97	с их	3	2
98	за пределы	2	2
99	только и	2	2
100	так же	2	2
101	из тех	2	2
102	и по	2	2
103	между собой	2	2
104	в итоге	2	2
105	отнюдь не	4	2
106	один из	2	2
107	в них	2	2
108	на этом	3	2
109	все это	4	2
110	с ними	4	2
111	что и	2	2
112	ни было	2	2
113	в одно	2	2
114	и может	4	2
115	своей жизни	2	2
116	самом деле	6	2
117	сознания при	2	2
118	в этой	4	2
119	с ним	2	2
120	если мы	2	2
121	на основе	2	2
122	у него	2	2
123	при всей	2	2
