N	2gram	Medvedev_S	Analitik
1	не только	3	71
2	и в	3	66
3	но и	2	57
4	в том	5	52
5	может быть	2	52
6	в частности	2	51
7	в этом	5	51
8	том что	2	40
9	как бы	2	29
10	в его	3	27
11	не в	3	26
12	что в	2	22
13	по отношению	2	19
14	то же	2	19
15	отношению к	2	18
16	только в	2	17
17	то что	2	16
18	далеко не	2	14
19	еще не	2	12
20	в конце	2	10
21	было бы	2	10
22	за пределы	2	9
23	в результате	2	9
24	таким образом	2	9
25	дело не	2	8
26	по природе	2	7
27	все это	7	7
28	как будто	2	7
29	тем более	2	6
30	более чем	3	6
31	истории литературы	10	4
32	и что	2	4
33	о литературе	3	4
34	или даже	2	4
35	это и	2	4
36	очевидно что	2	3
37	она может	2	3
38	ведь это	2	3
39	и заключается	2	3
40	в литературоведении	2	3
41	для нас	3	2
42	к которому	2	2
43	по существу	2	2
44	но ведь	3	2
45	и только	3	2
