N	2gram	Medvedev_S	VLabPisa
1	таким образом	2	32
2	в этом	5	29
3	не только	3	26
4	и в	3	26
5	может быть	2	23
6	в том	5	15
7	в его	3	15
8	все это	7	13
9	в частности	2	12
10	что в	2	11
11	то же	2	10
12	но и	2	10
13	том что	2	8
14	было бы	2	8
15	только в	2	8
16	очевидно что	2	7
17	по отношению	2	7
18	то что	2	7
19	отношению к	2	7
20	главным образом	2	7
21	не в	3	6
22	это и	2	6
23	в результате	2	5
24	как бы	2	5
25	по существу	2	4
26	идей и	2	3
27	в конце	2	3
28	далеко не	2	3
29	конце концов	2	2
30	еще не	2	2
31	и заключается	2	2
32	должна быть	2	2
