N	3gram	Vygotskiy_	Formalny
1	с точки зрения	11	40
2	не может быть	3	29
3	на самом деле	3	21
4	и т д	6	19
5	и т п	7	18
6	во всяком случае	6	16
7	в самом деле	29	11
8	с другой стороны	5	9
9	как мы видели	2	8
10	для того чтобы	17	8
11	до сих пор	6	8
12	вместе с тем	3	8
13	с одной стороны	6	8
14	сами по себе	3	7
15	а вовсе не	2	7
16	в свою очередь	3	7
17	и в этом	6	7
18	того или иного	2	7
19	сам по себе	2	6
20	в данном случае	5	6
21	смысле этого слова	5	6
22	не только не	3	6
23	с тем что	3	6
24	в том что	20	6
25	мы не можем	2	5
26	к тому что	5	5
27	к тому чтобы	4	5
28	все более и	4	4
29	с самого начала	10	4
30	в лучшем случае	2	4
31	не в том	2	4
32	более и более	4	4
33	по аналогии с	2	4
34	в той же	2	4
35	дело идет о	2	4
36	то и другое	3	3
37	то же самое	12	3
38	и то и	3	3
39	в предисловии к	2	3
40	друг с другом	2	3
41	только то что	3	3
42	вместо того чтобы	3	3
43	потому что он	3	3
44	мы уже знаем	2	3
45	как мы увидим	2	3
46	мы увидим что	9	3
47	в том смысле	2	3
48	в том чтобы	2	3
49	все то что	13	2
50	в том случае	4	2
51	не совпадает с	2	2
52	вовсе не в	2	2
53	так же как	2	2
54	ничего общего с	2	2
55	совершенно очевидно что	3	2
56	там где она	3	2
57	этой точки зрения	2	2
58	была бы совершенно	2	2
59	с этой точки	2	2
60	как если бы	3	2
61	мы видели что	2	2
62	на то чтобы	2	2
63	о том как	3	2
64	в жизни и	2	2
65	в какой мере	3	2
66	если же мы	2	2
67	что в нем	3	2
68	она не может	2	2
69	имеем в виду	2	2
