N	3gram	Vinokur_Ku	Formalny
1	с точки зрения	16	40
2	не может быть	5	29
3	на самом деле	3	21
4	то же время	4	20
5	в то же	4	20
6	и т д	21	19
7	и т п	39	18
8	во всяком случае	8	16
9	в связи с	4	16
10	в настоящее время	2	13
11	по отношению к	8	12
12	так и в	2	11
13	в самом деле	14	11
14	в этом отношении	8	11
15	в зависимости от	7	10
16	в большинстве случаев	2	9
17	с другой стороны	12	9
18	для того чтобы	21	8
19	до сих пор	5	8
20	вместе с тем	3	8
21	с одной стороны	2	8
22	более или менее	3	7
23	сами по себе	2	7
24	в первый период	2	7
25	пр и пр	2	7
26	в свою очередь	4	7
27	и пр и	2	7
28	того или иного	5	7
29	смысле этого слова	2	6
30	в том что	23	6
31	в этом смысле	8	5
32	в отличие от	3	5
33	к тому что	2	5
34	к тому чтобы	2	5
35	и не в	2	4
36	в конце концов	3	4
37	хотя бы в	4	4
38	тем не менее	9	4
39	не в том	5	4
40	т п в	2	4
41	сводится к тому	2	4
42	т е как	5	4
43	но все же	3	4
44	можно говорить о	2	3
45	что же касается	4	3
46	т е в	3	3
47	то или иное	2	3
48	и пр но	2	3
49	в противном случае	2	3
50	так или иначе	3	3
51	мы увидим что	2	3
52	в том смысле	2	3
53	именно в том	2	3
54	в том чтобы	9	3
55	в том случае	3	2
56	в той мере	6	2
57	в широком смысле	2	2
58	социального общения и	2	2
59	о языке как	3	2
60	так же как	3	2
61	ничего общего с	2	2
62	дело не в	3	2
63	может быть только	2	2
64	мы приходим к	2	2
65	этой точки зрения	4	2
66	отсюда следует что	2	2
67	той мере в	6	2
68	с этой точки	3	2
69	но даже и	2	2
70	вряд ли нужно	2	2
71	не потому что	4	2
72	не говоря уже	2	2
73	вовсе не потому	2	2
74	на этот вопрос	3	2
75	не только в	4	2
76	о том как	3	2
77	хотя бы и	4	2
78	мере в какой	6	2
79	в этом случае	4	2
80	и в том	2	2
81	мы говорим о	3	2
