N	3gram	Trubetskoy	Problema
1	о том что	2	39
2	в том что	7	37
3	в настоящее время	2	30
4	в данном случае	3	28
5	той или иной	3	26
6	во всяком случае	6	25
7	с точки зрения	9	25
8	в конце концов	3	23
9	сама по себе	2	21
10	и то что	3	20
11	на то что	4	19
12	для того чтобы	6	17
13	в то же	10	17
14	точно так же	2	16
15	до сих пор	5	14
16	в этом случае	3	14
17	на самом деле	6	13
18	можно было бы	3	13
19	того или иного	2	13
20	не может быть	4	12
21	бы то ни	4	11
22	более или менее	4	10
23	вместе с тем	3	10
24	и тем самым	2	10
25	только в том	2	8
26	в значительной мере	2	7
27	и вместе с	2	4
28	друг от друга	2	4
29	что бы то	3	4
30	то ни стало	3	4
31	во что бы	3	4
32	и во всяком	2	4
33	в другом случае	2	4
34	к тому что	2	3
35	тот факт что	2	3
36	в том случае	4	2
37	что он не	2	2
38	а следовательно и	2	2
39	и в том	2	2
40	и не может	3	2
41	не могут не	2	2
42	по самому своему	2	2
43	в том и	2	2
44	не может не	3	2
45	в себе и	2	2
46	ни одна из	2	2
