N	2gram	Bakhtin_sl	Vvedenie
1	и т	56	45
2	т д	7	39
3	в том	7	38
4	в этом	21	35
5	и в	69	35
6	том что	6	30
7	может быть	40	30
8	не только	37	26
9	для того	2	23
10	таким образом	16	21
11	также и	5	20
12	не может	27	19
13	то что	2	19
14	потому что	2	18
15	о том	5	16
16	только в	9	16
17	так как	7	15
18	языка и	18	15
19	и не	32	13
20	что в	3	13
21	в самом	6	13
22	в нем	44	13
23	в их	6	12
24	того что	4	12
25	точки зрения	24	12
26	в его	19	12
27	в данном	5	11
28	то же	17	11
29	по себе	4	11
30	в ее	2	11
31	как мы	15	11
32	не в	14	10
33	прежде всего	14	10
34	но в	13	10
35	в той	13	10
36	между тем	5	10
37	из этих	3	9
38	тем не	2	9
39	и как	3	9
40	все же	10	9
41	но не	7	9
42	не менее	4	9
43	дело с	4	9
44	науки о	2	9
45	в истории	6	9
46	это не	8	8
47	можно было	2	8
48	с другой	8	8
49	именно в	5	8
50	широком смысле	3	8
51	в качестве	4	8
52	в широком	3	7
53	и то	2	7
54	сих пор	4	7
55	как и	8	7
56	как бы	16	7
57	в большей	3	7
58	смысле слова	2	7
59	но и	37	7
60	в разных	3	7
61	только как	2	7
62	было бы	3	7
63	до сих	4	7
64	сказать что	4	6
65	его в	7	6
66	не могут	7	6
67	хотя бы	6	6
68	и даже	11	6
69	как он	2	6
70	а именно	2	6
71	в какой	2	6
72	а в	10	6
73	уже не	5	6
74	могут быть	25	6
75	в то	17	6
76	один из	9	6
77	и что	2	6
78	и его	45	6
79	все это	14	6
80	же время	15	6
81	этом случае	4	6
82	вовсе не	16	6
83	вместе с	3	6
84	данном случае	3	5
85	дело в	2	5
86	дело не	2	5
87	имеет дело	4	5
88	в виду	2	5
89	и тем	3	5
90	а как	3	5
91	одним из	5	5
92	с этой	3	5
93	что он	2	5
94	так что	2	5
95	т п	49	5
96	по своему	2	5
97	как уже	2	5
98	от этого	2	5
99	как это	3	5
100	на почве	6	5
101	есть не	2	5
102	не есть	2	5
103	язык как	5	5
104	другой стороны	5	5
105	в них	11	5
106	уже в	2	5
107	в целом	3	5
108	всяком случае	7	5
109	что и	2	5
110	языка в	21	5
111	говорить о	2	5
112	не просто	2	5
113	а не	29	5
114	в первом	3	5
115	хотя и	4	5
116	во всяком	9	5
117	да и	2	4
118	языке и	3	4
119	в чисто	4	4
120	в результате	4	4
121	одной стороны	7	4
122	и ее	3	4
123	по отношению	2	4
124	в каждом	5	4
125	должен быть	3	4
126	связана с	2	4
127	в особенности	10	4
128	этом отношении	2	4
129	как о	2	4
130	еще не	9	4
131	отношению к	2	4
132	речь в	2	4
133	в чем	2	4
134	отличие от	13	4
135	в отличие	12	4
136	с одной	7	4
137	к тому	3	4
138	одной из	4	4
139	но все	2	4
140	и для	7	4
141	только с	3	4
142	в котором	2	4
143	в виде	4	4
144	в более	2	4
145	даже и	4	4
146	тогда когда	2	4
147	в одном	4	4
148	из них	3	4
149	или иначе	2	4
150	в себе	3	4
151	с точки	11	4
152	в своей	8	4
153	как раз	3	4
154	можно сказать	2	4
155	той же	3	4
156	никогда не	9	3
157	до конца	25	3
158	одна из	6	3
159	в отношении	9	3
160	и вообще	2	3
161	или иной	13	3
162	известном смысле	2	3
163	в своем	9	3
164	и той	2	3
165	а также	5	3
166	с этим	5	3
167	одновременно и	5	3
168	так же	2	3
169	как оно	3	3
170	нисколько не	3	3
171	в собственном	2	3
172	бы и	6	3
173	для этого	4	3
174	к этому	3	3
175	не как	4	3
176	в другом	4	3
177	в значительной	6	3
178	отношение к	8	3
179	и здесь	5	3
