N	3gram	Vygotskiy_	Hudozhes
1	по отношению к	19	10
2	в том что	33	8
3	в отличие от	3	7
4	с другой стороны	8	6
5	состоит в том	7	5
6	для того чтобы	20	5
7	не может быть	4	4
8	с точки зрения	12	3
9	с одной стороны	10	3
10	в том числе	2	3
11	подобно тому как	6	3
12	в этом смысле	5	3
13	в связи с	6	3
14	можно сказать что	7	3
15	и того же	8	3
16	одного и того	8	3
17	тем или иным	2	2
18	в известном смысле	7	2
19	но он не	5	2
20	том числе и	2	2
21	этой точки зрения	7	2
22	в самом деле	6	2
23	том что он	3	2
24	мы имеем дело	2	2
25	к тому что	5	2
26	с этой точки	7	2
27	включает в себя	2	2
28	по своей природе	2	2
29	тех или иных	2	2
30	а с другой	3	2
31	сама по себе	4	2
32	в свою очередь	4	2
