N	2gram	Bakhtin_Pr	VrazhdaK
1	не только	9	9
2	и что	2	8
3	в этом	15	8
4	и в	38	8
5	что в	7	7
6	но и	9	7
7	и все	3	7
8	то что	8	7
9	но в	4	6
10	как и	7	6
11	в котором	2	6
12	в начале	2	6
13	в нем	15	6
14	и с	17	6
15	все же	6	6
16	в романе	4	6
17	и даже	3	6
18	и не	42	5
19	не было	2	5
20	в россии	2	5
21	то же	5	5
22	в то	4	5
23	же время	3	5
24	между тем	7	5
25	несмотря на	3	4
26	в своих	2	4
27	это не	5	4
28	в виду	4	4
29	все это	3	4
30	при этом	5	4
31	о том	4	4
32	в ней	4	4
33	как бы	22	4
34	что он	2	4
35	в истории	2	4
36	с ним	5	4
37	может быть	26	4
38	человека в	2	3
39	и у	2	3
40	в том	8	3
41	в чем	2	3
42	его в	9	3
43	далеко не	5	3
44	и во	2	3
45	в своем	5	3
46	том что	3	3
47	в его	43	3
48	в связи	2	3
49	и о	5	3
50	и его	16	3
51	и как	8	3
52	он не	3	3
53	связи с	2	3
54	к этому	2	3
55	на то	2	3
56	я не	2	3
57	с его	2	3
58	тем что	2	3
59	никогда не	5	2
60	в них	5	2
61	в мире	3	2
62	одна из	2	2
63	место в	8	2
64	в него	2	2
65	и это	3	2
66	на первый	2	2
67	с точки	6	2
68	а в	6	2
69	столь же	2	2
70	том же	2	2
71	в нашей	2	2
72	в своей	7	2
73	но как	2	2
74	и он	2	2
75	в себе	4	2
76	еще не	7	2
77	точки зрения	8	2
78	таким образом	10	2
79	и ее	2	2
80	отношения к	6	2
81	в свою	2	2
82	рядом с	5	2
83	не может	27	2
84	не менее	4	2
85	но это	3	2
86	к себе	2	2
87	отнюдь не	19	2
88	на основе	6	2
89	этот момент	2	2
90	отношение к	10	2
