N	2gram	Tiupa_Lite	Russkaja
1	не может	10	22
2	и не	19	19
3	в том	22	17
4	в этом	19	17
5	и в	26	14
6	то что	14	13
7	самим собой	2	12
8	точки зрения	8	11
9	то же	13	11
10	таким образом	4	11
11	в то	12	10
12	но и	25	10
13	же время	12	10
14	не только	29	9
15	том что	19	9
16	может быть	24	9
17	в себе	8	9
18	с точки	4	9
19	во всяком	3	9
20	как на	3	8
21	прежде всего	14	8
22	самого себя	3	7
23	и с	4	7
24	к тому	3	7
25	о том	3	7
26	в данном	7	7
27	отнюдь не	4	7
28	самом деле	2	7
29	с тем	2	6
30	если в	2	6
31	для всех	5	6
32	в своих	5	6
33	в россии	2	6
34	всяком случае	2	6
35	для того	2	6
36	что он	8	6
37	в своем	12	6
38	для него	6	6
39	или иной	3	5
40	а в	5	5
41	на то	2	5
42	было бы	4	5
43	хотя бы	3	5
44	из которых	3	5
45	и на	5	5
46	потому что	5	5
47	при этом	23	5
48	в нем	4	5
49	жизни в	5	5
50	в своей	5	5
51	себя и	3	5
52	во имя	3	5
53	только в	8	5
54	никогда не	5	5
55	и только	4	5
56	он не	4	5
57	между тем	2	5
58	во всех	4	5
59	по существу	4	5
60	а потому	4	5
61	и то	3	4
62	что в	7	4
63	но не	8	4
64	его в	4	4
65	все же	6	4
66	себя в	7	4
67	к этой	2	4
68	не в	11	4
69	как и	13	4
70	в мире	9	4
71	как бы	8	4
72	все что	3	4
73	можно было	3	4
74	путь к	2	4
75	приводит к	4	4
76	так как	2	4
77	и т.д	8	4
78	жизни и	6	4
79	в его	9	4
80	со стороны	6	4
81	в их	3	4
82	в этой	7	4
83	себе и	2	4
84	вместе с	5	4
85	одной из	2	3
86	данном случае	6	3
87	да и	3	3
88	все они	2	3
89	одна из	8	3
90	то это	2	3
91	для этого	5	3
92	этом случае	2	3
93	что для	2	3
94	на том	3	3
95	в сознании	3	3
96	культуры в	5	3
97	из этих	2	3
98	не есть	2	3
99	в другом	3	3
100	в конце	6	3
101	из них	5	3
102	в самом	4	3
103	и как	2	3
104	несмотря на	3	3
105	для них	2	3
106	что и	3	3
107	сводится к	4	3
108	лишь в	4	3
109	он сам	2	3
110	из этого	2	3
111	связи с	7	3
112	еще не	4	3
113	того что	7	3
114	в качестве	21	3
115	друг друга	5	3
116	не было	5	3
117	и т	2	3
118	при котором	2	3
119	тем что	6	3
120	то в	3	3
121	не к	3	2
122	русской культуры	3	2
123	тем самым	8	2
124	для себя	6	2
125	но в	5	2
126	свое собственное	3	2
127	что такое	2	2
128	на себя	4	2
129	на почве	2	2
130	в начале	4	2
131	для нее	2	2
132	этого не	2	2
133	состоит в	18	2
134	даже и	2	2
135	в ней	4	2
136	уже не	9	2
137	на это	2	2
138	в результате	2	2
139	по отношению	6	2
140	но даже	2	2
141	отношении к	2	2
142	во главе	2	2
143	по воле	2	2
144	в силу	4	2
145	и даже	9	2
146	а не	28	2
147	для нас	3	2
148	себя как	2	2
149	по этому	2	2
150	от него	2	2
151	не можем	2	2
152	речь идет	3	2
153	к себе	3	2
154	и тем	4	2
155	и является	2	2
156	и вот	2	2
157	тогда как	20	2
158	и что	2	2
159	но это	2	2
160	все эти	2	2
161	том же	3	2
162	и наконец	2	2
163	а с	2	2
164	не просто	2	2
165	в этих	2	2
166	только на	3	2
167	в частности	18	2
168	и есть	3	2
169	так что	4	2
170	как будто	2	2
171	во многих	3	2
172	должна быть	3	2
173	в области	5	2
174	за то	2	2
175	с ним	2	2
176	культуре и	2	2
177	в глазах	4	2
178	у него	5	2
179	не должен	3	2
180	культуры и	2	2
181	существование в	2	2
182	их не	2	2
183	и состоит	2	2
