N	3gram	Vygotskiy_	Marksizm
1	с точки зрения	12	46
2	не может быть	4	25
3	в самом деле	6	19
4	по отношению к	19	15
5	в связи с	6	14
6	в том что	33	14
7	и не может	3	12
8	в высшей степени	3	12
9	для того чтобы	20	11
10	до сих пор	3	11
11	с самого начала	8	10
12	в отличие от	3	10
13	одного и того	8	9
14	и того же	8	9
15	то же самое	7	8
16	в настоящее время	2	8
17	смысле этого слова	2	7
18	с другой стороны	8	7
19	в свою очередь	4	7
20	во всяком случае	2	6
21	на самом деле	3	6
22	на то что	5	6
23	с одной стороны	10	6
24	как мы уже	2	6
25	как мы видели	4	5
26	в этом отношении	7	5
27	к тому что	5	5
28	в этом случае	5	5
29	в первом случае	2	4
30	том что он	3	4
31	можно сказать что	7	4
32	о том что	7	4
33	в зависимости от	2	4
34	но все же	2	4
35	но при этом	2	3
36	на первый план	2	3
37	все более и	3	3
38	и тот же	5	3
39	лежит в основе	2	3
40	в конце концов	2	3
41	в следующей главе	2	3
42	друг с другом	10	3
43	между этими двумя	2	3
44	может быть понято	2	3
45	в том числе	2	3
46	одной и той	3	3
47	можно было бы	8	3
48	более и более	3	3
49	не могут быть	3	3
50	и той же	3	3
51	одной стороны и	2	3
52	на этот вопрос	5	3
53	один и тот	5	3
54	том числе и	2	3
55	от того что	6	2
56	само по себе	2	2
57	же как и	2	2
58	самом деле если	2	2
59	таким образом в	2	2
60	так же как	9	2
61	ничего общего с	3	2
62	вопрос о том	4	2
63	в данном случае	3	2
64	несмотря на то	2	2
65	что он не	3	2
66	в этом и	2	2
67	в какой степени	2	2
68	хотя бы в	2	2
69	мы видели что	2	2
70	является одним из	2	2
71	сама по себе	4	2
72	в нашем примере	2	2
73	друг от друга	5	2
74	далеко за пределы	4	2
75	с тем что	3	2
76	в собственном смысле	2	2
77	не то что	4	2
78	в этом смысле	5	2
79	независимо от того	2	2
80	только в пределах	3	2
