N	3gram	Vygotskiy_	Myslijsy
1	в том что	21	47
2	не может быть	14	19
3	заключает в себе	3	19
4	тем не менее	6	18
5	только тогда когда	4	17
6	и т д	10	15
7	сам по себе	4	14
8	в свою очередь	3	14
9	само по себе	8	14
10	от того что	2	13
11	то же время	2	13
12	в то же	2	13
13	не в том	7	13
14	во всяком случае	7	12
15	с другой стороны	7	12
16	более или менее	3	12
17	только в том	4	12
18	до сих пор	8	12
19	смысле этого слова	2	12
20	и т п	23	11
21	подобно тому как	7	11
22	сами по себе	4	11
23	для того чтобы	11	11
24	а в том	2	11
25	то что я	2	10
26	в то время	6	10
27	с одной стороны	6	10
28	мы не можем	2	9
29	о том что	9	9
30	на то что	12	9
31	в таком случае	3	9
32	не могут быть	2	9
33	что и в	5	9
34	до тех пор	2	9
35	на самом деле	6	8
36	с тем что	2	8
37	так и в	2	8
38	вместе с тем	3	8
39	только потому что	2	8
40	можно сказать что	2	7
41	как и в	5	7
42	одной и той	5	7
43	не только не	4	7
44	и той же	5	7
45	с точки зрения	12	7
46	не в состоянии	4	7
47	и в том	2	7
48	сама по себе	2	7
49	в этом смысле	3	7
50	не было бы	3	6
51	то же самое	8	6
52	в том случае	3	5
53	таким образом в	2	5
54	по себе не	3	5
55	по себе а	3	5
56	к тому что	2	5
57	то же что	2	5
58	и таким образом	4	5
59	и то что	3	5
60	все то что	3	4
61	и тот же	2	4
62	в том и	4	4
63	что мы не	2	4
64	и в самом	3	4
65	мы видели что	2	4
66	не что иное	2	4
67	с этой точки	5	4
68	в этом отношении	7	4
69	то время как	6	4
70	в собственном смысле	3	4
71	в произведении искусства	3	4
72	один и тот	2	4
73	в том виде	2	4
74	и что в	2	4
75	что иное как	2	4
76	с таким образом	15	4
77	то есть к	2	4
78	в том чтобы	9	4
79	бы то ни	2	3
80	то есть в	2	3
81	не может стать	2	3
82	тех пор пока	2	3
83	слова то есть	2	3
84	этой точки зрения	7	3
85	том что он	2	3
86	в применении к	2	3
87	но так как	2	3
88	можно было бы	2	3
89	что внутренняя форма	2	3
90	в сознании и	2	3
91	точно так же	6	3
92	потому что он	2	3
93	в связи с	2	3
94	заключается в том	13	3
95	мы увидим что	2	3
96	в одном из	2	3
97	если бы в	2	3
98	к чувственному образу	2	2
99	в силу того	3	2
100	силу того что	3	2
101	того и другого	3	2
102	том случае если	2	2
103	и во всех	2	2
104	так же как	8	2
105	только то что	2	2
106	может быть объяснено	2	2
107	во внимание что	2	2
108	не потому что	2	2
109	из этих слов	2	2
110	том что по	2	2
111	при этом не	2	2
112	так как в	3	2
113	в первый раз	2	2
114	иначе как в	2	2
115	что в таком	2	2
116	состоит в том	3	2
117	к тому чтобы	3	2
118	и не может	2	2
119	имеет дело с	2	2
120	того что они	2	2
121	же самое что	2	2
122	только при помощи	2	2
