N	2gram	Tiupa_Narr	Russkaja
1	не может	10	22
2	и не	20	19
3	в том	18	17
4	в этом	17	17
5	и в	19	14
6	то что	11	13
7	точки зрения	10	11
8	то же	4	11
9	в то	3	10
10	но и	23	10
11	же время	4	10
12	не только	32	9
13	том что	14	9
14	может быть	25	9
15	в себе	8	9
16	с точки	2	9
17	прежде всего	4	8
18	и с	4	7
19	к тому	7	7
20	о том	6	7
21	в данном	5	7
22	не будет	3	7
23	отнюдь не	5	7
24	самом деле	2	7
25	если в	3	6
26	и для	2	6
27	что он	6	6
28	в своем	2	6
29	для него	2	6
30	или иной	5	5
31	а в	11	5
32	в последние	2	5
33	было бы	4	5
34	хотя бы	4	5
35	из которых	4	5
36	между собой	2	5
37	и на	3	5
38	при этом	9	5
39	в нем	4	5
40	жизни в	3	5
41	себя и	2	5
42	только в	4	5
43	никогда не	3	5
44	и только	2	5
45	он не	3	5
46	между тем	3	5
47	по существу	2	5
48	что в	3	4
49	но не	6	4
50	его в	2	4
51	все же	7	4
52	себя в	5	4
53	не в	14	4
54	как и	7	4
55	более или	2	4
56	в мире	9	4
57	как бы	4	4
58	можно было	2	4
59	приводит к	2	4
60	и т.д	7	4
61	жизни и	3	4
62	в его	9	4
63	со стороны	9	4
64	то ни	3	4
65	точку зрения	4	4
66	в этой	5	4
67	бы то	3	4
68	или менее	2	4
69	одной из	4	3
70	данном случае	4	3
71	да и	4	3
72	одна из	3	3
73	что это	3	3
74	на том	3	3
75	и сейчас	2	3
76	именно в	6	3
77	из этих	3	3
78	она может	2	3
79	приходит к	2	3
80	не есть	3	3
81	в будущем	2	3
82	и потому	2	3
83	в значительной	2	3
84	из них	3	3
85	и как	5	3
86	несмотря на	2	3
87	может не	3	3
88	или в	2	3
89	сводится к	3	3
90	он сам	2	3
91	говорить о	2	3
92	той или	4	3
93	связи с	4	3
94	еще не	7	3
95	того что	2	3
96	в качестве	21	3
97	что они	3	3
98	не было	2	3
99	тем что	3	3
100	то в	6	3
101	не о	3	2
102	тем самым	6	2
103	или иного	2	2
104	к нему	5	2
105	она не	2	2
106	но в	6	2
107	того или	2	2
108	ни в	3	2
109	так же	2	2
110	на себя	3	2
111	состоит в	13	2
112	в ней	3	2
113	уже не	5	2
114	время в	2	2
115	в результате	2	2
116	по отношению	7	2
117	даже не	3	2
118	отличается от	4	2
119	если не	4	2
120	в силу	4	2
121	и даже	3	2
122	а не	12	2
123	и тот	2	2
124	по себе	5	2
125	точно так	2	2
126	речь идет	4	2
127	к себе	5	2
128	зависит от	2	2
129	и тем	4	2
130	тогда как	12	2
131	другом и	2	2
132	все эти	2	2
133	совершенно не	2	2
134	а с	3	2
135	совершенно очевидно	2	2
136	в частности	14	2
137	в таком	2	2
138	и есть	2	2
139	как будто	3	2
140	должна быть	2	2
141	отношения к	2	2
142	в области	2	2
143	у него	4	2
