N	3gram	Propp_Morf	Myslijsy
1	в том что	4	47
2	по отношению к	7	26
3	не может быть	9	19
4	тем не менее	6	18
5	и т д	60	15
6	во всяком случае	2	12
7	с другой стороны	5	12
8	более или менее	2	12
9	подобно тому как	5	11
10	для того чтобы	3	11
11	в то время	3	10
12	с одной стороны	2	10
13	о том что	3	9
14	на то что	3	9
15	не могут быть	4	9
16	на самом деле	4	8
17	в этом случае	10	8
18	как и в	3	7
19	с точки зрения	6	7
20	может быть названо	4	7
21	в том случае	3	5
22	тем и другим	2	5
23	к тому что	4	5
24	то что в	2	5
25	и таким образом	2	5
26	вопрос о том	2	4
27	в данном случае	2	4
28	не что иное	2	4
29	в этом отношении	2	4
30	то время как	3	4
31	в собственном смысле	3	4
32	далеко не все	3	4
33	что иное как	2	4
34	бы то ни	3	3
35	в первом случае	3	3
36	таким образом мы	7	3
37	но так как	2	3
38	можно было бы	2	3
39	на первый взгляд	3	3
40	можно заметить что	2	3
41	точно так же	2	3
42	в большинстве случаев	3	3
43	в связи с	9	3
44	это не значит	2	3
45	мы увидим что	2	3
46	там где оно	2	2
47	вне связи с	2	2
48	друг к другу	2	2
49	том случае если	2	2
50	и в других	2	2
51	друг на друга	2	2
52	то ни было	2	2
53	в таких случаях	2	2
54	потому что его	2	2
55	о том как	2	2
56	отсюда видно что	2	2
57	состоит в том	3	2
58	в этих случаях	14	2
59	но все же	4	2
