N	2gram	Vygotskiy_	VrazhdaK
1	не только	16	9
2	и что	15	8
3	в этом	35	8
4	и в	38	8
5	что в	31	7
6	но и	9	7
7	и все	5	7
8	то что	27	7
9	но в	4	6
10	как и	20	6
11	в котором	3	6
12	в начале	5	6
13	в нем	4	6
14	и с	5	6
15	о нем	2	6
16	все же	11	6
17	и даже	4	6
18	и не	16	5
19	об этом	2	5
20	то же	18	5
21	в то	5	5
22	у него	3	5
23	между тем	10	5
24	для нас	6	4
25	уже в	10	4
26	целый ряд	4	4
27	в своих	3	4
28	это не	5	4
29	в виду	4	4
30	все это	8	4
31	при этом	13	4
32	о том	6	4
33	в ней	3	4
34	как бы	17	4
35	так же	26	4
36	что он	13	4
37	в истории	9	4
38	с ним	4	4
39	может быть	25	4
40	и у	7	3
41	в том	59	3
42	в чем	2	3
43	одним из	6	3
44	его в	8	3
45	далеко не	2	3
46	что у	3	3
47	и во	4	3
48	в своем	9	3
49	том что	44	3
50	в его	22	3
51	в связи	9	3
52	и его	5	3
53	и как	11	3
54	он не	6	3
55	речь идет	4	3
56	связи с	14	3
57	к этому	5	3
58	на то	7	3
59	наряду с	3	3
60	по нашему	2	3
61	с его	3	3
62	тем что	12	3
63	никогда не	11	2
64	же не	3	2
65	с нею	2	2
66	и то	9	2
67	в них	3	2
68	уже не	3	2
69	в мире	2	2
70	одна из	2	2
71	и т.п	3	2
72	начиная с	2	2
73	место в	3	2
74	в него	4	2
75	в той	2	2
76	для него	6	2
77	при помощи	3	2
78	и это	7	2
79	на первый	5	2
80	с точки	11	2
81	мы знаем	10	2
82	а в	7	2
83	а также	6	2
84	в этой	7	2
85	столь же	7	2
86	том же	3	2
87	в нашей	4	2
88	в своей	9	2
89	же в	3	2
90	но как	4	2
91	в себе	9	2
92	еще не	6	2
93	точки зрения	27	2
94	же как	10	2
95	тем более	2	2
96	таким образом	36	2
97	во время	3	2
98	на место	2	2
99	в свою	4	2
100	их в	6	2
101	в эту	3	2
102	не может	11	2
103	из них	5	2
104	не менее	8	2
105	но это	7	2
106	с которым	2	2
107	отнюдь не	6	2
108	а с	4	2
109	не мог	4	2
110	на основе	29	2
111	этот момент	4	2
112	вместе с	18	2
113	в известном	6	2
