N	3gram	Tiupa_Teor	Tvorches
1	в то же	8	25
2	то же время	8	24
3	в том что	10	11
4	в соответствии с	2	8
5	по сути дела	3	7
6	и в то	2	7
7	но в то	2	6
8	в конечном счете	6	6
9	не может быть	5	6
10	в русской литературе	2	5
11	по отношению к	10	5
12	в самом деле	2	5
13	с точки зрения	3	4
14	в таком случае	2	3
15	как и в	2	3
16	с другой стороны	6	3
17	в отличие от	7	3
18	не сводится к	9	2
19	тем не менее	3	2
20	для того чтобы	5	2
21	можно сказать что	3	2
22	в связи с	3	2
23	том числе и	2	2
24	не могут быть	2	2
25	в известном смысле	2	2
26	в данном случае	5	2
27	в том числе	3	2
28	войне и мире	2	2
29	и в самом	2	2
30	в свою очередь	3	2
