N	3gram	Bakhtin_Fr	Problema
1	о том что	3	39
2	в том что	6	37
3	той или иной	5	26
4	во всяком случае	2	25
5	с точки зрения	6	25
6	содержит в себе	2	23
7	как раз и	2	18
8	для того чтобы	2	17
9	то есть в	5	17
10	в то же	5	17
11	до сих пор	7	14
12	на самом деле	2	13
13	и вовсе не	2	13
14	не может быть	5	12
15	можно сказать что	3	12
16	но даже и	2	12
17	и в частности	2	12
18	дело в том	2	11
19	с одной стороны	2	11
20	вовсе не является	3	10
21	не только в	5	10
22	в той или	5	10
23	искусства и литературы	4	9
24	на самом же	3	8
25	самом же деле	3	8
26	литературы и искусства	3	8
27	но и в	5	7
28	в значительной мере	3	7
29	так и в	3	6
30	даже и в	4	6
31	и в других	2	6
32	в этом отношении	5	6
33	в собственном смысле	3	5
34	имеем в виду	2	5
35	и прежде всего	4	5
36	в том числе	10	5
37	во всех этих	2	4
38	как мы видели	2	4
39	то есть только	3	4
40	в это время	2	4
41	это уже не	3	4
42	но все же	3	4
43	на первом плане	4	4
44	в новое время	4	4
45	подобно тому как	2	4
46	том числе и	7	4
47	как мы уже	8	4
48	но в то	2	3
49	и в то	2	3
50	ни к какому	2	3
51	о чем мы	2	3
52	мы вовсе не	2	3
53	вовсе не в	2	3
54	в отличие от	4	3
55	по сравнению с	2	3
56	но несмотря на	3	2
57	в известной мере	6	2
58	по отношению к	2	2
59	в основе своей	2	2
60	и в литературе	2	2
61	и в том	2	2
62	и не может	2	2
63	то есть на	2	2
64	всего того что	2	2
65	выходит за пределы	4	2
66	только в самом	2	2
67	в нем только	3	2
68	мы уже сказали	4	2
69	в себе и	2	2
