N	3gram	Savitsky_E	Problemy
1	то же время	14	26
2	в то же	15	26
3	с точки зрения	16	25
4	в этом смысле	3	16
5	не может быть	2	14
6	в большинстве случаев	2	12
7	но в то	2	11
8	в отношении к	12	10
9	во всяком случае	3	9
10	с другой стороны	2	9
11	друг с другом	3	8
12	в том что	6	8
13	бы то ни	4	7
14	и в то	8	7
15	и в этом	4	7
16	то ни было	4	6
17	той или иной	4	5
18	хотя бы и	3	5
19	можно было бы	3	5
20	дело идет о	2	5
21	в той или	3	5
22	и прежде всего	3	4
23	как нам кажется	5	4
24	так и в	2	4
25	само по себе	4	4
26	в этом отношении	3	4
27	к тому чтобы	2	4
28	как мы видели	2	3
29	в данном случае	2	3
30	нам кажется что	2	3
31	на то что	2	3
32	можно сказать что	3	3
33	прежде всего в	2	2
34	же как и	3	2
35	этой точки зрения	5	2
36	то что в	2	2
37	рано или поздно	2	2
38	и только в	2	2
39	друг от друга	2	2
40	не только в	4	2
41	для того чтобы	5	2
42	как бы ни	3	2
43	в одном из	2	2
44	мы можем сказать	2	2
45	в свою очередь	2	2
