N	3gram	Bakhtin_sl	Problema
1	тем не менее	2	56
2	о том что	2	39
3	в том что	4	37
4	и т д	7	33
5	в связи с	2	29
6	в данном случае	3	28
7	той или иной	13	26
8	во всяком случае	7	25
9	с точки зрения	11	25
10	с другой стороны	5	25
11	сама по себе	2	21
12	в то же	15	17
13	до сих пор	4	14
14	в этом случае	4	14
15	можно было бы	2	13
16	того или иного	2	13
17	не может быть	11	12
18	в то время	2	12
19	и в этом	2	12
20	то время как	2	12
21	с одной стороны	7	11
22	более или менее	5	10
23	не только не	2	10
24	не только в	3	10
25	в той или	12	10
26	может быть и	2	9
27	может быть только	3	8
28	но и в	2	7
29	те или иные	4	7
30	и то же	2	6
31	то есть не	2	6
32	так и в	5	6
33	в этом отношении	2	6
34	а вовсе не	4	5
35	хотя бы и	5	5
36	в собственном смысле	2	5
37	а также и	3	5
38	одно и то	2	5
39	в зависимости от	4	5
40	может быть очень	2	5
41	во всех этих	2	4
42	как мы видели	2	4
43	в новое время	2	4
44	в другом случае	3	4
45	то есть как	3	4
46	как мы уже	4	4
47	не выходит за	3	3
48	но в то	6	3
49	для нас в	2	3
50	к тому что	2	3
51	и в то	6	3
52	мы не знаем	2	3
53	как и в	2	3
54	это не значит	2	3
55	требует от нас	2	3
56	как мы сказали	6	3
57	в отличие от	12	3
58	одной стороны и	2	3
59	в известном смысле	2	3
60	в других случаях	2	2
61	точка зрения на	3	2
62	тем и другим	2	2
63	по отношению к	2	2
64	а следовательно и	2	2
65	и в том	2	2
66	и не может	2	2
67	в свою очередь	3	2
68	таким образом в	4	2
69	никогда не может	2	2
70	в том и	2	2
71	и т п	49	2
72	о которых мы	2	2
73	не может не	5	2
74	выходит за пределы	3	2
75	ничего нового не	2	2
76	мы уже сказали	3	2
77	то есть от	2	2
78	и следовательно в	2	2
