N	3gram	Bakhtin_fo	FransuaR
1	в романе рабле	3	56
2	в то же	10	55
3	то же время	13	55
4	мы уже говорили	6	43
5	как мы уже	11	28
6	до сих пор	4	27
7	в том числе	7	27
8	в том что	4	27
9	в средние века	4	25
10	в большинстве случаев	2	22
11	в этом отношении	5	20
12	но в то	2	20
13	с точки зрения	9	20
14	для того чтобы	11	17
15	в xvii веке	2	17
16	о том что	2	17
17	том числе и	4	17
18	кн iii гл	2	17
19	в связи с	12	16
20	и до конца	2	16
21	еды и питья	13	15
22	но и в	5	15
23	то есть в	2	15
24	в эпизоде с	3	15
25	и прежде всего	4	14
26	кн ii гл	7	14
27	не может быть	4	13
28	дело в том	2	13
29	с одной стороны	3	13
30	а также и	3	12
31	в другом месте	2	12
32	мы уже сказали	4	12
33	и в то	7	12
34	все то что	2	11
35	в отличие от	3	11
36	той или иной	3	10
37	таким образом и	2	10
38	мы еще вернемся	3	10
39	в той или	2	10
40	в данном случае	2	10
41	как и в	3	10
42	не только в	6	10
43	кн i гл	12	10
44	по отношению к	3	9
45	существенную роль в	3	9
46	и др в	2	8
47	в эпоху возрождения	3	8
48	вполне понятно что	4	8
49	в его целом	2	8
50	на протяжении всего	2	8
51	во всех этих	2	7
52	как мы видим	2	7
53	кн iv гл	7	7
54	на первый план	2	7
55	прежде всего в	3	7
56	в мировой литературе	2	7
57	и в других	4	7
58	в значительной мере	2	7
59	о том как	2	7
60	в то время	3	7
61	с самого начала	3	6
62	к тому же	2	6
63	и в особенности	5	6
64	но все же	3	6
65	имеем в виду	3	6
66	и во всех	3	6
67	мы имеем в	2	5
68	мы уже указывали	4	5
69	между вещами и	3	5
70	средние века и	3	5
71	все же в	2	5
72	в том же	3	5
73	в елисейских полях	2	5
74	как раз в	4	5
75	друг с другом	5	5
76	прежде всего необходимо	4	5
77	со всеми его	2	5
78	и в частности	2	5
79	одной стороны и	2	5
80	во рту пантагрюэля	4	5
81	по сравнению с	3	5
82	также и в	3	4
83	в строгом смысле	2	4
84	может быть и	4	4
85	еще вернемся в	3	4
86	как раз и	2	4
87	как мы увидим	2	4
88	но он не	2	4
89	а следовательно и	3	4
90	в нем не	3	4
91	связи с этим	4	4
92	так же как	2	4
93	и во всей	2	4
94	ничего не осталось	2	4
95	в этих условиях	2	3
96	важное значение имеет	2	3
97	вместе с тем	3	3
98	со всех сторон	2	3
99	и как бы	2	3
100	шута и дурака	6	3
101	почти вовсе не	2	3
102	можно прямо сказать	2	3
103	прямо сказать что	2	3
104	в особенности в	2	3
105	одного и того	6	3
106	и того же	6	3
107	вовсе не является	2	3
108	то есть именно	2	3
109	и в этом	2	3
110	друг от друга	2	3
111	человеческого тела и	2	3
112	в ее целом	2	3
113	в последнем счете	3	2
114	в нем в	2	2
115	с самим собой	2	2
116	жизни в ее	2	2
117	в какой-то степени	2	2
118	на другой день	2	2
119	к себе самому	7	2
120	то что было	2	2
121	в нем нет	2	2
122	мы будем говорить	2	2
123	во всех ее	2	2
124	во все стороны	3	2
125	и не только	2	2
126	так как он	2	2
127	в нем все	2	2
128	быть и речи	2	2
129	в мире рабле	2	2
130	в романе не	2	2
131	большую роль в	2	2
132	громадную роль в	2	2
133	все более и	2	2
134	и как раз	6	2
135	же как и	2	2
136	друг к другу	2	2
137	если кто хотел	2	2
138	из самых основных	2	2
139	в самом человеке	3	2
140	в последующие эпохи	3	2
141	между этими двумя	3	2
142	внешнее и внутреннее	2	2
143	и все его	2	2
144	и та же	2	2
145	одна и та	2	2
146	друг за другом	2	2
147	может быть только	3	2
148	пространстве и времени	2	2
149	же что и	3	2
150	но по существу	2	2
151	и в сущности	3	2
152	более и более	2	2
153	времени то есть	2	2
154	в себя и	2	2
155	под углом зрения	2	2
