N	3gram	Vygotskiy_	Morfolog
1	не может быть	8	9
2	в связи с	3	9
3	по отношению к	11	7
4	с точки зрения	34	6
5	подобно тому как	2	5
6	наряду с этим	2	5
7	с другой стороны	10	5
8	на самом деле	3	4
9	в том что	30	4
10	к тому что	3	4
11	независимо от того	2	4
12	о том что	10	3
13	то время как	4	3
14	собственном смысле слова	4	3
15	состоит в том	4	3
16	в то время	5	3
17	как и в	2	3
18	для того чтобы	19	3
19	на то что	9	3
20	в собственном смысле	8	3
21	вопрос о том	2	2
22	во всяком случае	5	2
23	то что в	2	2
24	мы увидим что	2	2
25	в данном случае	5	2
26	в этом отношении	6	2
27	и таким образом	2	2
28	тем и другим	2	2
29	друг к другу	2	2
30	мы уже видели	2	2
31	точно так же	2	2
32	можно было бы	6	2
33	с одной стороны	14	2
