N	3gram	Bakhtin_Pr	DiskursI
1	в том что	6	28
2	по отношению к	5	17
3	не может быть	8	12
4	той или иной	2	10
5	то же время	8	10
6	в жанровом отношении	4	10
7	о том что	3	9
8	в то же	8	8
9	как и в	4	7
10	по крайней мере	2	6
11	в соответствии с	2	6
12	так и в	2	6
13	с точки зрения	13	6
14	по своей природе	3	5
15	с другой стороны	3	5
16	дело в том	3	5
17	и прежде всего	5	4
18	в свое время	4	4
19	тем не менее	2	4
20	можно сказать что	6	4
21	и не может	6	4
22	то есть в	5	3
23	более или менее	3	3
24	в том числе	15	3
25	том числе и	13	3
26	к себе самому	6	2
27	все то что	2	2
28	большей или меньшей	6	2
29	а также и	3	2
30	в большинстве случаев	9	2
31	но и в	2	2
32	с самого начала	4	2
33	в новое время	4	2
34	хотя и в	2	2
35	по своей жанровой	2	2
36	из них в	2	2
37	времени и пространства	2	2
38	и в то	3	2
39	под углом зрения	3	2
