N	3gram	Trubetskoy	Istorich
1	до сих пор	5	30
2	в этом случае	3	29
3	в том что	7	25
4	не может быть	4	24
5	вместе с тем	3	23
6	точно так же	2	22
7	о том что	2	22
8	в данном случае	3	15
9	на то что	4	14
10	можно было бы	3	10
11	более или менее	4	9
12	и вместе с	2	9
13	друг с другом	14	9
14	и то что	3	8
15	во всяком случае	6	7
16	что он не	2	7
17	в большинстве случаев	2	7
18	на самом деле	6	5
19	для того чтобы	6	5
20	о том чтобы	2	4
21	с точки зрения	9	4
22	в этом направлении	2	3
23	бы то ни	4	3
24	в другом случае	2	3
25	к тому что	2	3
26	и тем самым	2	3
27	в противоречие с	2	3
28	и в том	2	2
29	она не может	2	2
30	сама по себе	2	2
31	друг от друга	2	2
32	к тому чтобы	4	2
33	и не может	3	2
34	совершенно таким же	2	2
35	только в том	2	2
