N	2gram	Medvedev_S	Morfolog
1	может быть	2	61
2	таким образом	2	26
3	в этом	5	18
4	и в	3	17
5	по существу	2	13
6	то же	2	10
7	в том	5	10
8	то что	2	10
9	что в	2	10
10	но и	2	9
11	не только	3	8
12	в результате	2	8
13	том что	2	7
14	по отношению	2	7
15	отношению к	2	7
16	как бы	2	6
17	было бы	2	5
18	далеко не	2	5
19	главным образом	2	5
20	еще не	2	4
21	как же	3	3
22	это и	2	3
23	не в	3	3
24	и что	2	3
25	только в	2	3
26	и только	3	3
27	дело не	2	2
28	в частности	2	2
29	должна быть	2	2
30	для нас	3	2
31	все это	7	2
32	как будто	2	2
