N	3gram	Bakhtin_fo	Dialekti
1	и т д	3	75
2	это значит что	2	47
3	с точки зрения	9	46
4	в том что	4	25
5	не может быть	4	18
6	то же время	13	15
7	в то же	10	14
8	одно и то	4	12
9	и то же	4	12
10	о том что	2	12
11	и не только	2	9
12	и в этом	2	9
13	одна и та	2	8
14	и та же	2	8
15	в то время	3	8
16	то время как	2	8
17	той или иной	3	7
18	сами по себе	2	7
19	и в частности	2	7
20	в связи с	12	7
21	и прежде всего	4	6
22	для того чтобы	11	6
23	может быть и	4	6
24	с одной стороны	3	6
25	и в то	7	6
26	на первый план	2	5
27	до сих пор	4	5
28	в нем нет	2	5
29	в виду что	2	5
30	по сравнению с	3	5
31	как раз и	2	4
32	так же как	2	4
33	может быть только	3	4
34	в данном случае	2	4
35	и т п	18	4
36	пространства и времени	5	4
37	к тому же	2	4
38	ни в чем	3	4
39	одной стороны и	2	4
40	в этом отношении	5	4
41	связи с этим	4	4
42	равно как и	4	4
43	вещей и явлений	6	3
44	же как и	2	3
45	и как бы	2	3
46	но в то	2	3
47	лежит в основе	2	3
48	одних и тех	2	3
49	с самого начала	3	3
50	как и в	3	3
51	и должно быть	2	3
52	же что и	3	3
53	не только в	6	3
54	о том как	2	3
55	и тех же	2	3
56	но все же	3	3
57	в той или	2	3
58	жизни и в	2	2
59	бы она ни	2	2
60	друг к другу	2	2
61	в широком смысле	3	2
62	друг с другом	5	2
63	и все его	2	2
64	в чем не	3	2
65	прежде всего необходимо	4	2
66	не было и	2	2
67	друг от друга	2	2
68	мы будем говорить	2	2
69	в нем не	3	2
70	но все эти	2	2
71	так как он	2	2
72	дело в том	2	2
73	мы уже сказали	4	2
74	и в особенности	5	2
75	времени и пространства	4	2
76	ни с чем	2	2
