N	2gram	Losev_Prob	TeoriaLi
1	в качестве	9	33
2	не только	28	24
3	и в	48	24
4	в частности	5	23
5	то есть	38	22
6	может быть	11	22
7	в том	25	20
8	при этом	6	20
9	я в	4	18
10	и не	29	17
11	а в	8	15
12	но и	21	14
13	так и	15	14
14	а не	7	14
15	в себе	7	14
16	такого рода	4	13
17	но не	12	13
18	в этом	31	12
19	то же	6	12
20	но в	17	12
21	в его	19	12
22	том что	29	11
23	точки зрения	17	11
24	и его	11	11
25	по отношению	2	10
26	отношению к	2	10
27	как это	5	10
28	что в	12	10
29	в данном	6	9
30	не в	16	9
31	в искусстве	2	9
32	с другой	8	9
33	в то	6	9
34	только в	21	9
35	не может	6	8
36	по своей	3	8
37	как бы	10	8
38	в своей	29	8
39	или иной	4	7
40	в своем	16	7
41	а также	8	7
42	мы имеем	3	7
43	отношение к	3	7
44	в области	3	7
45	в самом	7	7
46	однако в	4	7
47	в нем	8	7
48	тем самым	2	6
49	или иного	2	6
50	того или	3	6
51	другой стороны	8	6
52	в первой	2	6
53	не менее	8	6
54	еще не	4	6
55	то что	26	6
56	как и	10	6
57	в русской	4	6
58	или иначе	3	6
59	уже не	12	6
60	в ее	6	6
61	с его	3	6
62	данном случае	5	5
63	я с	2	5
64	по преимуществу	2	5
65	как в	3	5
66	ни в	17	5
67	в виду	3	5
68	и тем	4	5
69	не является	2	5
70	для того	4	5
71	и о	9	5
72	для него	2	5
73	так или	3	5
74	искусства в	2	5
75	между тем	2	5
76	могут быть	2	5
77	в художественном	2	5
78	того чтобы	3	5
79	того что	8	5
80	он не	4	5
81	можно сказать	10	5
82	художественного творчества	10	5
83	никогда не	7	4
84	сказать что	13	4
85	в отношении	8	4
86	его в	9	4
87	это не	8	4
88	и ее	2	4
89	искусства но	2	4
90	в другом	6	4
91	в силу	6	4
92	и а	4	4
93	в стихотворении	28	4
94	в их	4	4
95	в этих	3	4
96	что он	12	4
97	по своему	3	4
98	в литературе	5	4
99	далеко не	6	4
100	к тому	7	4
101	а только	5	4
102	того же	7	4
103	мира и	5	4
104	в свою	4	4
105	и что	9	4
106	или даже	4	4
107	и сам	5	4
108	в нашем	5	4
109	хотя и	10	4
110	но он	5	4
111	даже в	2	3
112	и то	6	3
113	перед нами	14	3
114	и притом	8	3
115	и потому	4	3
116	во всех	2	3
117	из этих	2	3
118	одной стороны	5	3
119	о чем	2	3
120	в которой	7	3
121	не все	3	3
122	в противоположность	3	3
123	и для	11	3
124	тем не	8	3
125	и как	10	3
126	если бы	2	3
127	или в	7	3
128	мира в	3	3
129	он должен	2	3
130	свою очередь	2	3
131	в таком	4	3
132	с этой	4	3
133	по мысли	4	3
134	а именно	12	3
135	ни к	2	3
136	была бы	3	3
137	в романе	2	3
138	с одной	5	3
139	а с	4	3
140	есть в	6	3
141	в жизни	4	3
142	для себя	6	3
143	в роли	2	3
144	или иных	2	3
145	именно в	11	3
146	потому что	21	3
147	все прочие	2	3
148	том числе	2	3
149	во втором	2	3
150	прежде всего	15	3
151	к его	5	3
152	человеческой жизни	5	3
153	и к	9	3
154	этом смысле	4	3
155	отнюдь не	14	3
156	мог бы	2	3
157	не будет	4	3
158	с точки	13	3
159	все эти	12	3
160	той или	5	3
161	и по	2	3
162	связи с	11	3
163	в связи	11	3
164	таким образом	20	3
165	нового времени	4	3
166	тех или	2	3
167	в этой	14	3
168	в одном	6	3
169	как раз	7	3
170	вовсе не	18	3
171	вслед за	2	3
172	человеческого я	4	3
173	еще и	6	2
174	только и	9	2
175	не могли	2	2
176	не могут	3	2
177	то в	4	2
178	для всех	2	2
179	так же	7	2
180	если в	2	2
181	но как	3	2
182	тем более	2	2
183	существа в	2	2
184	в коем	3	2
185	не всегда	5	2
186	человека и	4	2
187	дело в	4	2
188	что она	2	2
189	о своем	2	2
190	это было	2	2
191	в глаза	3	2
192	об этом	11	2
193	и даже	24	2
194	в конце	10	2
195	сама по	2	2
196	и прежде	2	2
197	таком случае	2	2
198	либо в	2	2
199	это и	4	2
200	жизни в	7	2
201	в значительной	3	2
202	ни было	2	2
203	у нас	17	2
204	к своему	3	2
205	только на	2	2
206	и другие	4	2
207	у него	13	2
208	самом деле	3	2
209	в рассказе	2	2
210	в чем	3	2
211	вместе с	15	2
212	в одно	6	2
213	в какой	5	2
214	русской литературе	3	2
215	на фоне	2	2
216	при всем	3	2
217	здесь мы	2	2
218	одной из	5	2
219	рассказ о	2	2
220	к нему	3	2
221	и является	6	2
222	всей своей	2	2
223	тот кто	2	2
224	и это	3	2
225	ее в	2	2
226	тому что	2	2
227	о том	17	2
228	в самой	5	2
229	могли бы	2	2
230	не вполне	2	2
231	сам же	4	2
232	есть как	2	2
233	в мировой	3	2
234	о себе	3	2
235	если мы	2	2
236	должен быть	2	2
237	коем случае	3	2
238	и на	9	2
239	на себя	2	2
240	не входит	2	2
241	этой точки	2	2
242	из тех	3	2
243	в году	9	2
244	из которых	2	2
245	он и	5	2
246	в известном	2	2
247	один из	2	2
248	в них	5	2
249	по себе	5	2
250	несмотря на	7	2
251	здесь не	12	2
252	в той	5	2
253	и весьма	2	2
254	что и	8	2
255	к другому	5	2
256	то ни	4	2
257	рода и	2	2
258	не просто	12	2
259	все это	8	2
260	только о	3	2
261	что они	4	2
262	как будто	9	2
263	для искусства	3	2
264	случае не	2	2
265	жизни то	2	2
266	бы то	4	2
267	который в	10	2
268	я не	3	2
269	и который	4	2
270	тем же	4	2
