N	2gram	Bakhtin_Fr	KFilosof
1	может быть	5	45
2	в его	18	42
3	в нем	18	32
4	не может	4	29
5	и не	13	28
6	и в	73	28
7	по отношению	3	26
8	в котором	4	24
9	отношению к	3	22
10	не есть	2	22
11	в себе	16	21
12	и его	18	18
13	только в	7	18
14	в своем	13	17
15	в ее	6	17
16	а не	2	17
17	в этом	21	15
18	не в	12	13
19	для него	7	13
20	точки зрения	6	13
21	и это	6	12
22	к нему	7	12
23	ни в	7	12
24	в своей	4	11
25	во всех	13	11
26	все эти	24	11
27	это не	7	10
28	его целом	2	10
29	и для	8	10
30	все это	19	10
31	с точки	4	10
32	и есть	3	10
33	в их	5	9
34	но и	15	9
35	как бы	15	9
36	и все	19	9
37	себя в	3	8
38	не было	4	8
39	лишь в	2	8
40	в мире	3	8
41	жизни и	6	8
42	было бы	5	8
43	в себя	3	8
44	и здесь	5	7
45	должен быть	4	7
46	то что	12	7
47	уже не	2	7
48	конечно не	2	7
49	что и	6	7
50	во всем	5	7
51	момент в	4	7
52	вовсе не	11	7
53	этот момент	2	7
54	должно быть	4	6
55	отношение к	3	6
56	но эта	2	6
57	мира в	6	6
58	в том	13	6
59	но все	5	6
60	не имеет	4	6
61	место в	4	6
62	и их	5	6
63	я не	3	6
64	но это	3	6
65	он не	4	6
66	никогда не	6	5
67	его в	3	5
68	все же	2	5
69	не только	11	5
70	мы имеем	2	5
71	его как	3	5
72	то же	16	5
73	еще не	3	5
74	не знает	4	5
75	а в	10	5
76	но в	12	5
77	как и	19	5
78	именно в	4	5
79	в одном	5	5
80	с ним	6	5
81	проникает в	3	5
82	в основе	3	5
83	что это	9	4
84	тем самым	3	4
85	том что	8	4
86	что в	14	4
87	не как	2	4
88	и т.д	3	4
89	ни было	2	4
90	времени и	2	4
91	о нем	3	4
92	прежде всего	18	4
93	в чем	3	4
94	и момент	2	4
95	мира и	6	4
96	места в	2	4
97	для нас	2	4
98	с ними	4	4
99	при этом	5	4
100	во всей	2	4
101	должна быть	3	4
102	как его	2	4
103	между тем	2	4
104	до конца	5	3
105	ничего не	4	3
106	в то	14	3
107	на самом	2	3
108	от него	3	3
109	здесь не	2	3
110	человека и	3	3
111	всех этих	2	3
112	в другом	4	3
113	котором мы	4	3
114	тем что	8	3
115	и тем	3	3
116	та же	7	3
117	нигде не	2	3
118	эти моменты	2	3
119	самом деле	4	3
120	в виду	4	3
121	людей и	3	3
122	себе и	2	3
123	по своему	3	3
124	для этой	3	3
125	не должно	3	3
126	только с	2	3
127	о том	13	3
128	мы здесь	3	3
129	в ней	10	3
130	в свою	3	3
131	и этим	2	3
132	здесь нет	3	3
133	но здесь	2	3
134	и на	12	3
135	того что	5	3
136	мы не	2	3
137	и может	2	3
138	рядом с	9	3
139	но конечно	2	3
140	тот же	3	3
141	отсюда и	2	3
142	а следовательно	2	3
143	конечно в	2	2
144	и то	3	2
145	для этого	2	2
146	ее как	2	2
147	и потому	6	2
148	свою жизнь	2	2
149	в данном	3	2
150	его к	3	2
151	и ее	2	2
152	и эта	4	2
153	дело в	2	2
154	к этому	5	2
155	дело не	2	2
156	это было	4	2
157	в это	3	2
158	с ее	3	2
159	к себе	3	2
160	и как	5	2
161	в виде	2	2
162	пространства и	2	2
163	и других	3	2
164	все они	7	2
165	бы оно	2	2
166	бытие но	2	2
167	в области	3	2
168	одного и	2	2
169	что он	8	2
170	из которых	2	2
171	со всеми	4	2
172	всех его	3	2
173	а для	2	2
174	так и	13	2
175	но этот	4	2
176	было и	2	2
177	жизнь и	3	2
178	всех других	2	2
179	что есть	2	2
180	на волю	2	2
181	может иметь	2	2
182	с тем	2	2
183	это уже	3	2
184	как в	9	2
185	от этого	3	2
186	в него	4	2
187	где она	2	2
188	в ту	3	2
189	он может	3	2
190	и смысл	2	2
191	но есть	3	2
192	еще более	4	2
193	ему в	2	2
194	оно не	2	2
195	имеем в	2	2
196	вся эта	2	2
197	мы говорим	2	2
198	в процессе	3	2
199	он и	2	2
200	один из	5	2
201	него и	2	2
202	по себе	2	2
203	потому что	9	2
204	совсем не	3	2
205	которой он	2	2
206	того чтобы	2	2
207	и когда	3	2
208	и эти	2	2
209	именно на	2	2
210	ведь это	3	2
211	знать что	3	2
212	и смерти	4	2
213	в качестве	11	2
214	же время	12	2
215	в этой	18	2
216	что значит	3	2
217	с его	5	2
