N	2gram	Propp_Isto	Tvorches
1	и в	41	56
2	как бы	8	41
3	в его	4	37
4	в то	6	30
5	то же	12	25
6	не только	30	24
7	но в	7	24
8	и его	11	23
9	и не	12	23
10	а в	12	23
11	как и	8	23
12	и т	29	22
13	в этом	19	22
14	в том	14	21
15	что в	21	21
16	том что	18	19
17	он не	8	19
18	может быть	19	19
19	потому что	13	19
20	у него	16	18
21	то что	12	18
22	что он	29	17
23	все это	9	17
24	т д	25	17
25	и на	12	17
26	таким образом	15	17
27	никогда не	16	16
28	прежде всего	6	16
29	как в	17	16
30	при этом	7	16
31	не может	19	16
32	но и	20	16
33	в этой	2	15
34	с его	4	15
35	но это	5	15
36	и с	4	15
37	это не	14	14
38	и даже	3	14
39	там же	3	13
40	о том	15	13
41	а не	9	13
42	тем самым	3	12
43	в целом	2	12
44	же с	2	12
45	в котором	3	12
46	все же	14	11
47	в своей	4	11
48	в конце	4	10
49	не в	12	10
50	в основном	2	10
51	так и	8	10
52	уже в	4	10
53	в русской	8	10
54	представление о	9	10
55	но не	8	10
56	в самом	2	10
57	когда он	5	10
58	только в	10	10
59	как будто	4	10
60	в нем	12	9
61	один из	7	9
62	и от	5	9
63	наряду с	2	9
64	даже в	2	8
65	так же	6	8
66	в себе	3	8
67	в их	4	8
68	одной из	4	8
69	не менее	5	8
70	на его	6	8
71	так как	21	8
72	тогда как	4	8
73	вовсе не	6	8
74	к этому	5	8
75	об этом	7	8
76	еще не	13	8
77	именно в	2	8
78	хотя и	3	8
79	вместе с	17	8
80	за собой	2	7
81	своего рода	7	7
82	в чем	5	7
83	например в	6	7
84	в дальнейшем	3	7
85	и он	8	7
86	что она	6	7
87	в которой	2	7
88	в этих	16	7
89	не случайно	3	7
90	во сне	2	7
91	уже не	8	7
92	и сам	3	7
93	в книге	5	6
94	его в	7	6
95	героя в	3	6
96	так что	6	6
97	и все	6	6
98	не столько	4	6
99	все эти	8	6
100	и ее	6	6
101	если он	5	6
102	одна из	7	6
103	и как	3	6
104	если бы	3	6
105	с ним	9	6
106	начиная с	2	5
107	ничего не	7	5
108	не имеют	3	5
109	в одной	3	5
110	приходит к	4	5
111	по отношению	3	5
112	но если	2	5
113	и у	3	5
114	но эта	2	5
115	и других	2	5
116	как он	11	5
117	в виде	5	5
118	это как	2	5
119	в образе	4	5
120	в своем	3	5
121	а с	3	5
122	не так	4	5
123	в них	4	5
124	и это	9	5
125	что этот	4	5
126	значит что	3	5
127	что не	3	5
128	что и	13	5
129	отметить что	2	5
130	в ее	3	5
131	мы не	10	5
132	и по	7	5
133	что они	5	5
134	тот же	2	5
135	показывает что	12	5
136	что это	6	5
137	все время	2	5
138	с этим	3	5
139	дело не	5	5
140	на него	3	5
141	та же	5	5
142	героя и	5	5
143	и другие	10	5
144	как у	2	5
145	отношению к	3	5
146	в литературе	2	5
147	что у	6	5
148	с другой	20	5
149	что я	2	5
150	если не	4	5
151	из них	2	5
152	не было	3	5
153	но с	2	5
154	перед нами	4	4
155	при помощи	6	4
156	и через	2	4
157	он же	2	4
158	только на	2	4
159	в частности	3	4
160	как это	6	4
161	не знает	2	4
162	того что	7	4
163	к нему	8	4
164	он говорит	4	4
165	точки зрения	4	4
166	ту же	3	4
167	так в	10	4
168	могут быть	3	4
169	сих пор	5	4
170	однако в	2	4
171	же не	2	4
172	на землю	4	4
173	же как	6	4
174	с ними	2	4
175	мы видим	14	4
176	в основе	2	4
177	говорит о	2	4
178	и когда	2	4
179	тут же	2	4
180	но эти	3	4
181	восходит к	3	4
182	у нее	3	4
183	это значит	3	4
184	известно что	3	4
185	превращается в	10	4
186	тем что	11	4
187	на земле	6	4
188	и наконец	6	4
189	и есть	2	4
190	с этой	7	4
191	такой же	3	4
192	что его	2	4
193	и более	2	4
194	связан с	5	4
195	далеко не	3	4
196	не вполне	5	4
197	с собой	7	4
198	этот вопрос	3	4
199	в которых	2	4
200	представляет собой	8	4
201	еще в	3	4
202	связана с	4	4
203	но он	4	4
204	до сих	4	4
205	этого вопроса	2	3
206	ее и	2	3
207	его к	2	3
208	от него	6	3
209	вплоть до	2	3
210	вот в	2	3
211	герой в	2	3
212	к себе	4	3
213	в другом	2	3
214	отношение к	6	3
215	него есть	3	3
216	пришел к	2	3
217	друг друга	2	3
218	и тем	4	3
219	со стороны	3	3
220	в области	3	3
221	сам себя	2	3
222	но что	2	3
223	в один	2	3
224	мы знаем	4	3
225	не по	2	3
226	так например	5	3
227	в него	4	3
228	в свете	4	3
229	к тому	4	3
230	к самому	2	3
231	связь с	7	3
232	в ней	4	3
233	на себя	3	3
234	другой стороны	17	3
235	всяком случае	3	3
236	по этому	3	3
237	этого он	2	3
238	точно так	2	3
239	этой связи	2	3
240	и др	4	3
241	должны быть	4	3
242	и до	2	3
243	там где	7	3
244	никто не	2	3
245	можно сказать	3	3
246	как мы	6	3
247	сказать что	5	3
248	если в	3	3
249	во многих	2	3
250	его с	2	3
251	из этих	6	3
252	в начале	2	3
253	это в	3	3
254	больше чем	2	3
255	не все	4	3
256	от месяца	2	3
257	его как	2	3
258	к ней	3	3
259	отличается от	4	3
260	а я	2	3
261	кроме того	6	3
262	и вот	2	3
263	ее в	3	3
264	для того	2	3
265	дает ему	2	3
266	у нас	4	3
267	себе не	2	3
268	на западе	2	3
269	не с	2	3
270	живет в	2	3
271	в жизни	2	3
272	на этот	4	3
273	д в	3	3
274	образом и	3	3
275	и если	4	3
276	а по	2	3
277	он и	3	3
278	по себе	2	3
279	жизни и	3	3
280	перед ним	2	3
281	сводится к	3	3
282	и что	15	3
283	во всяком	3	3
284	нет ни	2	3
285	или в	11	3
286	и только	4	3
287	в одном	2	3
288	данном случае	7	2
289	в первую	8	2
290	в таких	3	2
291	не могут	3	2
292	но мы	3	2
293	но как	4	2
294	о чем	2	2
295	в тех	8	2
296	вслед за	2	2
297	их на	2	2
298	не дают	2	2
299	в силу	2	2
300	должен быть	2	2
301	а как	2	2
302	на эти	2	2
303	после этого	8	2
304	в одно	2	2
305	начинается с	4	2
306	в современной	2	2
307	нас не	2	2
308	связано с	7	2
309	здесь нет	4	2
310	знает что	2	2
311	брак с	2	2
312	в руки	2	2
313	в другое	2	2
314	с тем	8	2
315	совершенно точно	2	2
316	говорилось выше	3	2
317	для этой	2	2
318	тому что	2	2
319	она не	3	2
320	на том	10	2
321	не могу	2	2
322	он в	4	2
323	тоже не	3	2
324	того же	3	2
325	приходит в	2	2
326	характер в	2	2
327	однако все	2	2
328	ответ на	6	2
329	между прочим	3	2
330	смерти в	2	2
331	с героем	3	2
332	то это	7	2
333	что же	2	2
334	не будет	6	2
335	ли он	5	2
336	только через	3	2
337	когда она	2	2
338	когда в	3	2
339	героя а	3	2
340	было бы	4	2
341	представляют собой	5	2
342	связи с	3	2
343	этой задачи	3	2
344	в связи	3	2
345	он был	2	2
346	в качестве	5	2
347	во время	7	2
348	не знал	2	2
349	сам он	3	2
350	в действительности	2	2
351	здесь мы	11	2
352	ли и	2	2
353	кажется что	7	2
354	самого себя	2	2
355	но она	2	2
356	всех этих	6	2
357	он как	3	2
358	не от	3	2
359	что если	2	2
360	на ней	5	2
361	но при	2	2
362	в данном	8	2
363	ибо он	2	2
364	и нет	3	2
365	во всех	8	2
366	по всей	2	2
367	героем и	2	2
368	тем не	4	2
369	всему миру	2	2
370	должен был	2	2
371	где он	3	2
372	на смену	2	2
373	и о	2	2
374	чаще всего	8	2
375	в целях	2	2
376	причем в	3	2
377	с одной	12	2
378	не стоит	2	2
379	то он	2	2
380	очень много	2	2
381	не имеет	6	2
382	от всех	2	2
