N	3gram	Potebnia_M	Psycholo
1	в том что	18	78
2	для того чтобы	4	70
3	на то что	3	55
4	и т п	4	37
5	с точки зрения	3	29
6	с одной стороны	6	28
7	все то что	2	23
8	до сих пор	5	23
9	не может быть	11	23
10	и т д	6	22
11	с таким образом	3	21
12	к тому что	2	20
13	с другой стороны	7	20
14	мы увидим что	3	19
15	на самом деле	2	17
16	с самого начала	5	16
17	не только не	2	16
18	во всяком случае	7	14
19	в то время	3	14
20	само по себе	6	14
21	заключает в себе	6	13
22	и в этом	7	13
23	сам по себе	5	12
24	одной и той	3	12
25	и той же	3	12
26	то что в	2	11
27	подобно тому как	7	11
28	только в том	7	10
29	с этой точки	2	10
30	сами по себе	8	10
31	не в том	6	10
32	потому что в	5	9
33	не в состоянии	2	9
34	в том и	2	9
35	таким образом что	2	9
36	и что в	3	9
37	и как бы	4	8
38	смысле этого слова	3	8
39	с тем что	4	8
40	на этот вопрос	2	7
41	что и в	4	7
42	в свою очередь	8	7
43	как и в	3	7
44	в этом смысле	4	7
45	более или менее	6	6
46	тем не менее	10	6
47	сама по себе	4	6
48	не что иное	2	6
49	и в том	3	6
50	что иное как	2	6
51	по его мнению	4	6
52	мы не можем	2	6
53	то что мы	2	6
54	и может быть	4	6
55	по себе не	3	6
56	не только в	3	6
57	в таком случае	4	5
58	не было бы	3	5
59	мы видели что	2	5
60	в собственном смысле	2	5
61	в том смысле	7	5
62	и во всех	2	5
63	все более и	2	4
64	от того что	5	4
65	а между тем	5	4
66	что в таком	2	4
67	по себе и	2	4
68	более и более	2	4
69	из того что	2	4
70	в применении к	3	4
71	одного и того	6	4
72	таким образом в	3	4
73	до такой степени	2	4
74	это было бы	2	4
75	имеет дело с	2	4
76	только тогда когда	5	4
77	только потому что	3	4
78	а в том	4	4
79	и того же	6	4
80	бы то ни	2	3
81	и то и	2	3
82	то и другое	6	3
83	по его словам	2	3
84	после того как	3	3
85	во внимание что	2	3
86	мы не имеем	2	3
87	так как в	2	3
88	не могут быть	5	3
89	в то же	3	3
90	не заключает в	3	3
91	это не так	2	3
92	по отношению к	13	3
93	может быть не	4	3
94	то же время	3	3
95	между тем в	2	3
96	том что по	2	3
97	обратить внимание на	2	3
98	которые не могут	2	3
99	друг от друга	3	3
100	в том как	4	3
101	то все же	3	3
102	том смысле что	2	3
103	дело в том	3	3
104	что не только	3	2
105	то есть не	3	2
106	потому что не	5	2
107	так и в	5	2
108	не могло бы	2	2
109	и при этом	2	2
110	в обратном отношении	2	2
111	но и в	4	2
112	в связи с	2	2
113	не иначе как	2	2
114	в одном из	2	2
115	и в свою	3	2
116	во многих случаях	2	2
117	по крайней мере	6	2
118	что мы не	2	2
119	что при таком	2	2
120	вбирает в себя	2	2
121	при этом не	2	2
122	потому что как	3	2
123	одной стороны и	2	2
124	и тем самым	2	2
125	потому что мы	3	2
126	может быть только	2	2
127	того что они	2	2
128	в таком виде	2	2
