N	2gram	Bakhtin_Pr	NovoeSre
1	а не	29	17
2	и в	64	16
3	не может	26	16
4	нового времени	3	12
5	и не	55	11
6	и есть	3	10
7	что в	11	9
8	жизни и	3	8
9	как не	9	8
10	в том	12	8
11	он не	14	8
12	может быть	43	7
13	как и	25	7
14	в этом	33	7
15	никогда не	11	6
16	лишь в	4	6
17	ни в	5	6
18	не в	15	6
19	воля к	2	6
20	не знает	6	6
21	но это	6	6
22	с его	11	6
23	не только	26	5
24	в жизни	5	5
25	все это	9	5
26	в нем	28	5
27	в ней	2	5
28	и к	5	5
29	не во	5	4
30	должно быть	8	4
31	в них	5	4
32	и для	7	4
33	не имеет	2	4
34	прежде всего	16	4
35	не менее	3	4
36	не было	5	4
37	и потому	7	4
38	и мы	2	4
39	перестает быть	4	4
40	то что	21	4
41	о том	5	4
42	это не	12	4
43	потому что	8	4
44	и все	6	4
45	смысле слова	2	3
46	в мире	7	3
47	тому как	3	3
48	но и	26	3
49	подобно тому	3	3
50	с другой	7	3
51	не значит	4	3
52	в ее	2	3
53	она не	10	3
54	к тому	4	3
55	в россии	2	3
56	и пр	5	3
57	что такое	2	3
58	в своей	11	3
59	еще не	10	3
60	жизни не	2	3
61	в истории	2	3
62	человека и	2	3
63	должна быть	8	3
64	как в	7	3
65	конечно не	4	3
66	не есть	4	3
67	за пределы	7	3
68	в духе	4	3
69	сказать что	4	3
70	во всех	4	3
71	вопрос о	3	3
72	в основе	4	3
73	время как	2	2
74	в себе	11	2
75	что она	7	2
76	к более	2	2
77	как будто	4	2
78	все они	2	2
79	и с	9	2
80	одна из	5	2
81	для этого	3	2
82	себя в	3	2
83	но не	12	2
84	в категориях	2	2
85	что все	2	2
86	и от	3	2
87	будет и	2	2
88	того чтобы	2	2
89	и это	8	2
90	хотя бы	4	2
91	же как	2	2
92	а в	10	2
93	все время	3	2
94	но в	14	2
95	том что	8	2
96	нового типа	2	2
97	мысли в	2	2
98	мир и	5	2
99	и на	16	2
100	с этим	3	2
101	бытия в	3	2
102	есть в	2	2
103	и что	5	2
104	все эти	13	2
105	переживает кризис	2	2
106	мы не	4	2
107	в смысле	3	2
108	можно было	3	2
109	это и	5	2
110	мира и	7	2
111	у него	11	2
112	времени и	2	2
113	не знал	2	2
114	уже не	15	2
115	этот мир	3	2
116	по существу	6	2
117	с их	7	2
118	другой стороны	6	2
119	так же	8	2
120	так и	8	2
121	могут быть	9	2
122	но для	3	2
123	такой же	4	2
124	в то	15	2
125	хотя и	5	2
126	мысли и	6	2
127	этом смысле	12	2
128	том и	2	2
129	и даже	5	2
130	ведь и	4	2
131	я не	6	2
