N	3gram	Bakhtin_sl	Psycholo
1	в том что	4	78
2	и т п	49	37
3	о том что	2	34
4	с точки зрения	11	29
5	с одной стороны	7	28
6	до сих пор	4	23
7	не может быть	11	23
8	и т д	7	22
9	к тому что	2	20
10	с другой стороны	5	20
11	не только не	2	16
12	в зависимости от	4	15
13	во всяком случае	7	14
14	в этом отношении	2	14
15	в то время	2	14
16	можно было бы	2	13
17	то время как	2	13
18	и в этом	2	13
19	в двух планах	2	10
20	в том и	2	9
21	в данном случае	3	9
22	в отличие от	12	9
23	и то же	2	8
24	друг с другом	2	8
25	в свою очередь	3	7
26	как и в	2	7
27	о которых мы	2	7
28	одно и то	2	7
29	более или менее	5	6
30	тем не менее	2	6
31	сама по себе	2	6
32	и в том	2	6
33	того или иного	2	6
34	никогда не может	2	6
35	не только в	3	6
36	в лучшем случае	3	5
37	в собственном смысле	2	5
38	в евгении онегине	3	5
39	иметь дело с	2	5
40	приходится иметь дело	2	5
41	и во всех	2	5
42	а между тем	2	4
43	прямо сказать что	2	4
44	и не может	2	4
45	таким образом в	4	4
46	те или иные	4	4
47	и в сущности	4	4
48	во всех этих	2	3
49	и там где	5	3
50	может быть и	2	3
51	до конца и	3	3
52	а вовсе не	4	3
53	в этом случае	4	3
54	не могут быть	3	3
55	в то же	15	3
56	которых мы говорили	2	3
57	в отношении к	9	3
58	он никогда не	2	3
59	по отношению к	2	3
60	то же время	15	3
61	и в другом	2	3
62	на том же	2	3
63	то есть как	3	3
64	той или иной	13	2
65	как мы видели	2	2
66	в первом случае	2	2
67	то есть не	2	2
68	они как бы	2	2
69	так и в	5	2
70	или во всяком	2	2
71	но в этом	2	2
72	т п в	2	2
73	обстоит дело и	2	2
74	оно не может	3	2
75	а следовательно и	2	2
76	но и в	2	2
77	в связи с	2	2
78	лишь тогда когда	2	2
79	и в особенности	5	2
80	в узком смысле	13	2
81	а не как	2	2
82	сих пор не	2	2
83	не может не	5	2
84	выходит за пределы	3	2
85	одной стороны и	2	2
86	двух планах в	2	2
87	может быть только	3	2
88	не только о	2	2
89	на каждом шагу	2	2
