N	2gram	Berdyaev_M	OGranits
1	и в	61	13
2	и его	13	12
3	прежде всего	18	9
4	и не	26	8
5	не может	39	8
6	может быть	42	8
7	в его	10	7
8	и их	3	7
9	точки зрения	6	7
10	не только	42	6
11	как бы	10	6
12	только в	7	6
13	то что	10	6
14	все же	2	5
15	и эта	3	5
16	хотя бы	8	5
17	но в	12	4
18	только и	7	4
19	лишь в	8	4
20	то же	4	4
21	в своей	18	4
22	все это	6	4
23	было бы	11	4
24	мы не	2	4
25	в каждом	4	4
26	никогда не	30	3
27	я хочу	3	3
28	и для	7	3
29	и то	2	3
30	и все	13	3
31	связана с	9	3
32	в ее	3	3
33	вряд ли	3	3
34	с этим	4	3
35	отношению к	4	3
36	как и	14	3
37	не в	16	3
38	в их	4	3
39	так как	10	3
40	в себе	12	3
41	что в	12	3
42	по отношению	4	3
43	но для	2	3
44	самом деле	2	3
45	есть прежде	4	3
46	за пределы	5	3
47	так и	5	3
48	что же	2	3
49	в которой	8	3
50	не как	4	3
51	к одному	2	3
52	но и	34	3
53	в самом	15	2
54	могут быть	2	2
55	мы видим	4	2
56	в этом	34	2
57	смысле слова	7	2
58	в них	5	2
59	и должно	3	2
60	уже в	6	2
61	отношений между	2	2
62	в том	9	2
63	тем что	7	2
64	в отношении	6	2
65	есть не	9	2
66	если бы	5	2
67	от этого	4	2
68	думать что	4	2
69	не имеет	7	2
70	роль в	2	2
71	от всех	2	2
72	а в	4	2
73	том что	7	2
74	а как	2	2
75	и к	9	2
76	все эти	3	2
77	так же	5	2
78	от своего	2	2
79	что они	4	2
80	те же	5	2
81	с этой	4	2
82	в своих	4	2
83	его на	4	2
84	в нем	26	2
85	и ее	2	2
86	нет ничего	9	2
87	что иное	4	2
88	а не	36	2
89	в ней	23	2
90	входит в	3	2
91	еще в	4	2
92	как в	9	2
93	во всем	5	2
94	мог бы	5	2
95	бы в	3	2
96	между тем	2	2
97	и этот	4	2
98	в чем	3	2
99	иное как	4	2
100	не что	4	2
101	в этот	2	2
102	учение о	3	2
103	к тому	6	2
104	не мог	6	2
105	для него	28	2
